id	name	tradition	value	action	bare	of_whom	duplicated_in	suggested_move_to	reason
7287	Mary	Abrahamic	virgin	TITLE_DUP			domain		full string already in domain
7434	Nereus	Greek	son of Pontus and Gaia	STRIP_TO_BARE	son	Pontus and Gaia			"son of X" pattern
7434	Nereus	Greek	husband of Doris	STRIP_TO_BARE	husband	Doris			"husband of X" pattern
7434	Nereus	Greek	father of the fifty Nereids (including Amphitrite, Thetis, Galatea)	STRIP_TO_BARE	father	the fifty Nereids (including Amphitrite, Thetis, Galatea)			"father of X" pattern
7229	Agdistis	Phrygian	primordial androgynous daemon	TITLE_MOVE				domain	title not present in any other field
7229	Agdistis	Phrygian	the being from whose castration Attis ultimately springs	TITLE_MOVE				domain	title not present in any other field
7229	Agdistis	Phrygian	sometimes identified with a wild aspect of Cybele	TITLE_MOVE				identification	title not present in any other field
7476	Nanahuatzin	Aztec	transformed into Tonatiuh	TITLE_MOVE				domain	title not present in any other field
7384	Nandi	Hindu	mount and chief devotee of Śiva	TITLE_MOVE				domain	title not present in any other field
7384	Nandi	Hindu	chief of the gaṇas	TITLE_MOVE				domain	title not present in any other field
7384	Nandi	Hindu	gatekeeper of Kailāśa	TITLE_MOVE				domain	title not present in any other field
7261	The Alcis	Germanic	sibling	KEEP					bare kinship term
6838	Nehalennia	Germanic	Germanic North Sea coast goddess	TITLE_MOVE				domain	title not present in any other field
6838	Nehalennia	Germanic	protectress of seafarers and merchants	TITLE_MOVE				domain	title not present in any other field
7091	Baldr	Norse	son	KEEP					bare kinship term
7091	Baldr	Norse	husband	KEEP					bare kinship term
7506	Vairocana	Buddhist	the cosmic/primordial Buddha	TITLE_MOVE				identification	title not present in any other field
7506	Vairocana	Buddhist	centre of the Five Wisdom Buddhas	TITLE_MOVE				identification	title not present in any other field
7506	Vairocana	Buddhist	embodiment of the Dharmakāya	TITLE_MOVE				domain	title not present in any other field
6784	Tammuz	Mesopotamian	son	KEEP					bare kinship term
6784	Tammuz	Mesopotamian	husband	KEEP					bare kinship term
7519	Hunahpu	Maya	one of the Hero Twins	TITLE_MOVE				character_trait	title not present in any other field
7519	Hunahpu	Maya	son of Hun Hunahpu	STRIP_TO_BARE	son	Hun Hunahpu			"son of X" pattern
7519	Hunahpu	Maya	twin of Xbalanque	STRIP_TO_BARE	sister	Xbalanque			"sister of X" pattern
7519	Hunahpu	Maya	raised to become the sun	TITLE_MOVE				domain	title not present in any other field
6786	Nerthus	Germanic	continental Germanic earth-mother goddess	TITLE_MOVE				domain	title not present in any other field
6786	Nerthus	Germanic	the etymological counterpart of the Norse Njörðr	TITLE_MOVE				domain	title not present in any other field
6236	Kvasir	Norse	wisdom-being	TITLE_MOVE				domain	title not present in any other field
6236	Kvasir	Norse	victim	TITLE_MOVE				domain	title not present in any other field
7104	Móði and Magni	Norse	sons of Thor	TITLE_DUP			domain		"thor" already in domain
7104	Móði and Magni	Norse	brothers	TITLE_MOVE				domain	title not present in any other field
7104	Móði and Magni	Norse	inheritors	TITLE_MOVE				domain	title not present in any other field
7430	Oceanus	Greek	eldest Titan	TITLE_MOVE				domain	title not present in any other field
7430	Oceanus	Greek	son of Ouranos and Gaia	STRIP_TO_BARE	son	Ouranos and Gaia			"son of X" pattern
7430	Oceanus	Greek	husband of Tethys	STRIP_TO_BARE	husband	Tethys			"husband of X" pattern
7430	Oceanus	Greek	father of all rivers and Oceanids	STRIP_TO_BARE	father	all rivers and Oceanids			"father of X" pattern
6759	Shiva	Hindu	husband	KEEP					bare kinship term
6736	Sophia	Gnostic	the youngest aeon of the Pleroma	TITLE_MOVE				domain	title not present in any other field
6736	Sophia	Gnostic	an emanation within the line proceeding from Barbelo	TITLE_MOVE				identification	title not present in any other field
6736	Sophia	Gnostic	the unwitting mother of the demiurge Yaldabaoth	TITLE_MOVE				domain	title not present in any other field
7427	Tartarus	Greek	primordial deity and abyssal place	TITLE_DUP			character_trait		"place" already in character_trait
7427	Tartarus	Greek	mate of Gaia	TITLE_MOVE				domain	title not present in any other field
7427	Tartarus	Greek	father of Typhon	STRIP_TO_BARE	father	Typhon			"father of X" pattern
7361	Audhumla	Norse	primordial cow	TITLE_DUP			domain		full string already in domain
7361	Audhumla	Norse	progenitrix-by-licking of Búri	TITLE_MOVE				character_trait	title not present in any other field
6404	Taiyi Zhenren	Chinese	spouse	KEEP					bare kinship term
6306	Hundun	Chinese	primordial chaos personified	TITLE_MOVE				domain	title not present in any other field
6306	Hundun	Chinese	the emperor of the center (in Zhuangzi)	TITLE_MOVE				domain	title not present in any other field
6403	Kuimulang	Chinese	spouse	KEEP					bare kinship term
6615	Tychon	Greek	spouse	KEEP					bare kinship term
7163	Nāga	Hindu	serpent-beings descended from Kadrū	TITLE_MOVE				domain	title not present in any other field
7163	Nāga	Hindu	rulers of Pātāla	TITLE_MOVE				domain	title not present in any other field
7163	Nāga	Hindu	enemies of Garuḍa	TITLE_MOVE				domain	title not present in any other field
7477	Tecuciztecatl	Aztec	transformed into Metztli	TITLE_MOVE				domain	title not present in any other field
7474	Tonatiuh	Aztec	the fifth sun	TITLE_MOVE				domain	title not present in any other field
7474	Tonatiuh	Aztec	identified with Nanahuatzin (the diseased god who became him)	TITLE_MOVE				domain	title not present in any other field
7474	Tonatiuh	Aztec	presides over the warrior-paradise Tonatiuh Ichan	TITLE_MOVE				character_trait	title not present in any other field
6101	Valkyrie	Norse	warrior-maidens	TITLE_MOVE				character_trait	title not present in any other field
6101	Valkyrie	Norse	divine servants of Odin	TITLE_MOVE				domain	title not present in any other field
7096	Njörðr	Norse	husband	KEEP					bare kinship term
7096	Njörðr	Norse	Vanir hostage	TITLE_MOVE				domain	title not present in any other field
7096	Njörðr	Norse	god of the sea, wind, and wealth	TITLE_DUP			domain		"wealth" already in domain
7518	Ix Chel	Maya	Maya goddess of the moon, childbirth, weaving, and medicine	TITLE_DUP			domain		"medicine" already in domain
7518	Ix Chel	Maya	consort of Itzamna	STRIP_TO_BARE	consort	Itzamna			"consort of X" pattern
7354	Sif	Norse	wife of Thor	STRIP_TO_BARE	wife	Thor			"wife of X" pattern
7354	Sif	Norse	mother of Þrúðr	STRIP_TO_BARE	mother	Þrúðr			"mother of X" pattern
7354	Sif	Norse	mother of Ullr (from earlier union)	STRIP_TO_BARE	mother	Ullr (from earlier union)			"mother of X" pattern
7222	Vajrapani	Buddhist	bodhisattva of power	TITLE_DUP			domain		"power" already in domain
7222	Vajrapani	Buddhist	protector of the Buddha and the Dharma	TITLE_MOVE				identification	title not present in any other field
7222	Vajrapani	Buddhist	one of the three family-protectors with Avalokiteśvara and Mañjuśrī	TITLE_MOVE				domain	title not present in any other field
7509	Mahakala	Buddhist	great wrathful protector (dharmapāla)	TITLE_MOVE				domain	title not present in any other field
7509	Mahakala	Buddhist	wrathful emanation (often of Avalokiteśvara)	TITLE_MOVE				identification	title not present in any other field
7509	Mahakala	Buddhist	Buddhist transformation of the Hindu Shiva-Mahākāla	TITLE_MOVE				domain	title not present in any other field
7509	Mahakala	Buddhist	East Asian form: Daikokuten	TITLE_MOVE				domain	title not present in any other field
7447	Vulcan	Roman	identified with Hephaestus	TITLE_MOVE				domain	title not present in any other field
7447	Vulcan	Roman	son of Jupiter and Juno (or of Juno alone parthenogenetically, importing the Greek narrative)	STRIP_TO_BARE	son	Jupiter and Juno (or of Juno alone parthenogenetically, importing the Greek narrative)			"son of X" pattern
7447	Vulcan	Roman	husband of Venus (importing the Greek)	STRIP_TO_BARE	husband	Venus (importing the Greek)			"husband of X" pattern
7486	Yandi	Chinese	the Yan Emperor	TITLE_MOVE				domain	title not present in any other field
7486	Yandi	Chinese	often identified with Shennong	TITLE_MOVE				domain	title not present in any other field
7486	Yandi	Chinese	co-ancestor (with Huangdi) of the Chinese people	TITLE_MOVE				domain	title not present in any other field
7486	Yandi	Chinese	ancestor of Chiyou in some traditions	TITLE_MOVE				domain	title not present in any other field
7524	Vucub-Came	Maya	one of the two paramount lords of Xibalba	TITLE_MOVE				domain (or identification)	title not present in any other field
7524	Vucub-Came	Maya	co-ruler with Hun-Came	TITLE_MOVE				domain	title not present in any other field
7524	Vucub-Came	Maya	adversary of the Hero Twins	TITLE_MOVE				character_trait	title not present in any other field
7425	Chaos	Greek	the first of all things	TITLE_MOVE				domain	title not present in any other field
7425	Chaos	Greek	parent of Erebus and Nyx	TITLE_MOVE				domain	title not present in any other field
6139	Gabriel	Abrahamic	archangel	TITLE_MOVE				domain	title not present in any other field
6139	Gabriel	Abrahamic	divine messenger	TITLE_MOVE				domain	title not present in any other field
6139	Gabriel	Abrahamic	angel of revelation	TITLE_DUP			domain		"revelation" already in domain
7350	Leviathan	Abrahamic	cosmic adversary	TITLE_MOVE				domain	title not present in any other field
7350	Leviathan	Abrahamic	primordial monster	TITLE_MOVE				domain	title not present in any other field
6767	Lilith	Abrahamic	first wife (former)	TITLE_MOVE				domain	title not present in any other field
7338	YHWH	Abrahamic	father (creator-father of all, covenant-father of Israel)	TITLE_MOVE				domain	title not present in any other field
7338	YHWH	Abrahamic	king	TITLE_MOVE				character_trait	title not present in any other field
6104	Eve	Abrahamic	first woman	TITLE_MOVE				domain	title not present in any other field
6104	Eve	Abrahamic	wife	KEEP					bare kinship term
6104	Eve	Abrahamic	mother of all living	STRIP_TO_BARE	mother	all living			"mother of X" pattern
6105	Agreus and Nomios	Greek	spouse	KEEP					bare kinship term
7256	Yaldabaoth	Gnostic	the demiurge of the Gnostic systems	TITLE_MOVE				domain	title not present in any other field
7256	Yaldabaoth	Gnostic	the malformed offspring of Sophia	TITLE_MOVE				domain	title not present in any other field
7256	Yaldabaoth	Gnostic	the false god and jailer of the material cosmos	TITLE_DUP			domain		"material cosmos" already in domain
6106	Muzha	Chinese	spouse	KEEP					bare kinship term
7527	Ixtab	Maya	Yucatec Maya goddess associated with the rope and with those who died by hanging	TITLE_DUP			domain		"hanging" already in domain
7295	Kingu	Mesopotamian	spouse	KEEP					bare kinship term
7246	Loki	Norse	blood-brother of Odin	TITLE_MOVE				domain	title not present in any other field
7246	Loki	Norse	father of Fenrir, Jǫrmungandr, Hel (with Angrboða)	STRIP_TO_BARE	father	Fenrir, Jǫrmungandr, Hel (with Angrboða)			"father of X" pattern
7246	Loki	Norse	mother of Sleipnir (in mare-form)	STRIP_TO_BARE	mother	Sleipnir (in mare-form)			"mother of X" pattern
7246	Loki	Norse	husband of Sigyn (with sons Narfi and Váli)	STRIP_TO_BARE	husband	Sigyn (with sons Narfi and Váli)			"husband of X" pattern
7246	Loki	Norse	adversary of the Æsir	TITLE_MOVE				domain	title not present in any other field
6439	Lingbao Tianzun	Chinese	second of the Three Pure Ones	TITLE_MOVE				domain	title not present in any other field
6439	Lingbao Tianzun	Chinese	dwells in the Supreme Pure heaven (Shangqing)	TITLE_MOVE				domain	title not present in any other field
7213	Barong	Balinese	the protective beast-spirit of Bali	TITLE_MOVE				domain	title not present in any other field
7213	Barong	Balinese	the "king of the spirits"	TITLE_MOVE				character_trait	title not present in any other field
7213	Barong	Balinese	the eternal adversary of Rangda	TITLE_MOVE				domain	title not present in any other field
7508	Samantabhadra	Buddhist	bodhisattva of practice and vows	TITLE_MOVE				domain	title not present in any other field
7508	Samantabhadra	Buddhist	paired with Mañjuśrī as an attendant of the Buddha	TITLE_MOVE				identification	title not present in any other field
7508	Samantabhadra	Buddhist	in Nyingma, the primordial Buddha	TITLE_MOVE				identification	title not present in any other field
7510	Vaisravana	Buddhist	chief of the Four Heavenly Kings	TITLE_MOVE				character_trait	title not present in any other field
7510	Vaisravana	Buddhist	guardian of the north	TITLE_MOVE				domain	title not present in any other field
7510	Vaisravana	Buddhist	god of wealth (linked with Kubera)	TITLE_MOVE				domain	title not present in any other field
7510	Vaisravana	Buddhist	East Asian form: Bishamonten	TITLE_MOVE				domain	title not present in any other field
7220	Manjushri	Buddhist	bodhisattva of wisdom	TITLE_DUP			domain		full string already in domain
7346	Samael	Abrahamic	angel of death	TITLE_DUP			domain		"death" already in domain
7346	Samael	Abrahamic	accuser	TITLE_MOVE				domain	title not present in any other field
7346	Samael	Abrahamic	consort of Lilith (Kabbalah)	STRIP_TO_BARE	consort	Lilith (Kabbalah)			"consort of X" pattern
7346	Samael	Abrahamic	head of the demonic order	TITLE_MOVE				domain	title not present in any other field
6111	Ishtar	Mesopotamian	daughter	KEEP					bare kinship term
6111	Ishtar	Mesopotamian	wife	KEEP					bare kinship term
7326	Arsay	Canaanite	daughter	KEEP					bare kinship term
7331	Baal-Hammon	Canaanite	king	TITLE_DUP			domain		full string already in domain
7331	Baal-Hammon	Canaanite	consort	KEEP					bare kinship term
6756	Odin	Norse	son	KEEP					bare kinship term
6756	Odin	Norse	husband	KEEP					bare kinship term
7335	Danel	Canaanite	king	TITLE_DUP			domain		full string already in domain
7335	Danel	Canaanite	patriarch	TITLE_DUP			domain		full string already in domain
7334	Kirta	Canaanite	king	TITLE_DUP			domain		full string already in domain
7334	Kirta	Canaanite	husband	KEEP					bare kinship term
7333	Milcom	Canaanite	national god	TITLE_DUP			domain		full string already in domain
6117	Hermes	Greek	son of Zeus and Maia (the eldest Pleiad)	STRIP_TO_BARE	son	Zeus and Maia (the eldest Pleiad)			"son of X" pattern
6117	Hermes	Greek	messenger of the gods	TITLE_MOVE				domain	title not present in any other field
6117	Hermes	Greek	psychopomp (escorts souls to Hades)	TITLE_MOVE				domain	title not present in any other field
6117	Hermes	Greek	god of trade, thieves, travelers, heralds	TITLE_MOVE				domain	title not present in any other field
6117	Hermes	Greek	father of Pan (by various accounts)	STRIP_TO_BARE	father	Pan (by various accounts)			"father of X" pattern
6117	Hermes	Greek	father of Hermaphroditus (by Aphrodite)	STRIP_TO_BARE	father	Hermaphroditus (by Aphrodite)			"father of X" pattern
7414	Daikokuten	Shinto	one of the Seven Lucky Gods	TITLE_MOVE				domain	title not present in any other field
7414	Daikokuten	Shinto	syncretic combination of Mahākāla, Daikoku, Ōkuninushi	TITLE_MOVE				domain	title not present in any other field
7414	Daikokuten	Shinto	often paired with Ebisu	TITLE_MOVE				domain	title not present in any other field
7190	Aengus	Celtic	son	KEEP					bare kinship term
7184	Brigid	Celtic	daughter	KEEP					bare kinship term
7184	Brigid	Celtic	spouse	KEEP					bare kinship term
7498	Cao Guojiu	Chinese	one of the Eight Immortals (the most recently added)	TITLE_MOVE				domain	title not present in any other field
7498	Cao Guojiu	Chinese	brother of a Song empress	STRIP_TO_BARE	brother	a Song empress			"brother of X" pattern
7498	Cao Guojiu	Chinese	patron of actors	TITLE_MOVE				domain	title not present in any other field
7487	Chang'e	Chinese	goddess of the moon	TITLE_DUP			domain		"moon" already in domain
7487	Chang'e	Chinese	wife of the archer Hou Yi	STRIP_TO_BARE	wife	the archer Hou Yi			"wife of X" pattern
7487	Chang'e	Chinese	dweller in the moon-palace	TITLE_MOVE				domain	title not present in any other field
6831	Fangfeng	Chinese	spouse	KEEP					bare kinship term
6665	Fuxi	Chinese	first of the Three Sovereigns (San Huang)	TITLE_MOVE				domain (or identification)	title not present in any other field
6665	Fuxi	Chinese	brother-husband of Nüwa	TITLE_MOVE				domain	title not present in any other field
6665	Fuxi	Chinese	culture-hero and inventor	TITLE_MOVE				character_trait	title not present in any other field
6671	Gonggong	Chinese	water-god	TITLE_MOVE				domain (or identification)	title not present in any other field
6671	Gonggong	Chinese	adversary of Zhurong (and/or Zhuanxu)	TITLE_MOVE				domain	title not present in any other field
6671	Gonggong	Chinese	his destruction of Mount Buzhou necessitated Nüwa's cosmic repair	TITLE_MOVE				domain	title not present in any other field
7493	Guanyin	Chinese	bodhisattva-goddess of compassion	TITLE_DUP			domain		"compassion" already in domain
7493	Guanyin	Chinese	Chinese form of Avalokiteśvara	TITLE_MOVE				domain	title not present in any other field
7493	Guanyin	Chinese	in the Miaoshan legend, the third daughter of King Miaozhuang	TITLE_MOVE				character_trait	title not present in any other field
6935	Heng and Ha	Chinese	spouse	KEEP					bare kinship term
7446	Mercury	Roman	identified with Hermes	TITLE_MOVE				domain	title not present in any other field
7446	Mercury	Roman	son of Jupiter and Maia	STRIP_TO_BARE	son	Jupiter and Maia			"son of X" pattern
7446	Mercury	Roman	psychopomp	TITLE_DUP			character_trait		full string already in character_trait
7446	Mercury	Roman	messenger of the gods	TITLE_MOVE				domain	title not present in any other field
7446	Mercury	Roman	patron of merchants and thieves	TITLE_DUP			domain		"thieves" already in domain
7457	Vertumnus	Roman	Etruscan Voltumna imported	TITLE_MOVE				domain	title not present in any other field
7457	Vertumnus	Roman	husband of Pomona	STRIP_TO_BARE	husband	Pomona			"husband of X" pattern
7499	Lan Caihe	Chinese	one of the Eight Immortals	TITLE_MOVE				domain	title not present in any other field
7499	Lan Caihe	Chinese	the ambiguously-gendered eccentric of the group	TITLE_MOVE				domain	title not present in any other field
7499	Lan Caihe	Chinese	patron of florists	TITLE_MOVE				domain	title not present in any other field
6515	Ma Yuan	Chinese	spouse	KEEP					bare kinship term
6624	Niulang	Chinese	spouse	KEEP					bare kinship term
6650	Pangu	Chinese	primordial cosmic giant	TITLE_MOVE				domain	title not present in any other field
6650	Pangu	Chinese	the first being	TITLE_MOVE				domain	title not present in any other field
6650	Pangu	Chinese	his body became the physical world	TITLE_MOVE				domain	title not present in any other field
6945	Qu Yuan	Chinese	spouse	KEEP					bare kinship term
6258	Randeng Daoren	Chinese	spouse	KEEP					bare kinship term
7489	Yao	Chinese	one of the Five Emperors / sage-kings	TITLE_MOVE				character_trait	title not present in any other field
7489	Yao	Chinese	father of the unworthy Danzhu	STRIP_TO_BARE	father	the unworthy Danzhu			"father of X" pattern
7489	Yao	Chinese	abdicated to Shun (gave him his two daughters in marriage)	TITLE_MOVE				domain	title not present in any other field
6914	The Divine Twins	Cross-cultural	sibling	KEEP					bare kinship term
6552	Zhenyuan Daxian	Chinese	spouse	KEEP					bare kinship term
6123	Semachos	Greek	spouse	KEEP					bare kinship term
7470	Chalchiuhtlicue	Aztec	sister-wife of Tlaloc	TITLE_MOVE				domain	title not present in any other field
7470	Chalchiuhtlicue	Aztec	goddess of fresh water	TITLE_DUP			domain		"water" already in domain
7470	Chalchiuhtlicue	Aztec	fourth sun in the Five Suns	TITLE_MOVE				domain	title not present in any other field
7403	Ammit	Egyptian	judgment-hall-attendant	TITLE_MOVE				domain	title not present in any other field
7403	Ammit	Egyptian	annihilator of the unjustified	TITLE_MOVE				domain	title not present in any other field
7471	Coyolxauhqui	Aztec	daughter of Coatlicue	STRIP_TO_BARE	daughter	Coatlicue			"daughter of X" pattern
7471	Coyolxauhqui	Aztec	sister of Huitzilopochtli	STRIP_TO_BARE	sister	Huitzilopochtli			"sister of X" pattern
7471	Coyolxauhqui	Aztec	sister of the 400 Centzon Huitznahua	STRIP_TO_BARE	sister	the 400 Centzon Huitznahua			"sister of X" pattern
7471	Coyolxauhqui	Aztec	moon-goddess	TITLE_MOVE				domain (or identification)	title not present in any other field
7407	Kauket	Egyptian	Ogdoad pair-member with Kuk	TITLE_MOVE				domain	title not present in any other field
7407	Kauket	Egyptian	primordial darkness	TITLE_DUP			domain		full string already in domain
6574	Nezha	Chinese	son of General Li Jing and Lady Yin	STRIP_TO_BARE	son	General Li Jing and Lady Yin			"son of X" pattern
6574	Nezha	Chinese	disciple of Taiyi Zhenren	TITLE_MOVE				domain	title not present in any other field
6574	Nezha	Chinese	marshal of the celestial army	TITLE_MOVE				domain	title not present in any other field
6574	Nezha	Chinese	resurrected with a lotus-body	TITLE_MOVE				domain	title not present in any other field
7400	Nephthys	Egyptian	daughter of Geb and Nut	STRIP_TO_BARE	daughter	Geb and Nut			"daughter of X" pattern
7400	Nephthys	Egyptian	sister-wife of Set	TITLE_MOVE				domain	title not present in any other field
7400	Nephthys	Egyptian	sister of Isis and Osiris	STRIP_TO_BARE	sister	Isis and Osiris			"sister of X" pattern
7400	Nephthys	Egyptian	mother of Anubis (by Osiris in Plutarch; by Set in other versions)	STRIP_TO_BARE	mother	Anubis (by Osiris in Plutarch; by Set in other versions)			"mother of X" pattern
7400	Nephthys	Egyptian	canopic-jar protectress	TITLE_MOVE				domain	title not present in any other field
7294	Mummu	Mesopotamian	vizier	TITLE_DUP			domain		full string already in domain
7294	Mummu	Mesopotamian	advisor	TITLE_MOVE				domain	title not present in any other field
7371	Brahma	Hindu	creator-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7371	Brahma	Hindu	husband of Sarasvatī	STRIP_TO_BARE	husband	Sarasvatī			"husband of X" pattern
7371	Brahma	Hindu	father of the Saptaṛṣis	STRIP_TO_BARE	father	the Saptaṛṣis			"father of X" pattern
7371	Brahma	Hindu	Trimūrti member	TITLE_MOVE				domain	title not present in any other field
6906	Ptah	Egyptian	supreme creator (Memphite theology)	TITLE_MOVE				domain	title not present in any other field
6906	Ptah	Egyptian	husband of Sekhmet	STRIP_TO_BARE	husband	Sekhmet			"husband of X" pattern
6906	Ptah	Egyptian	father of Nefertem	STRIP_TO_BARE	father	Nefertem			"father of X" pattern
6906	Ptah	Egyptian	member of the Memphite triad	TITLE_MOVE				domain	title not present in any other field
7422	Ares	Greek	son of Zeus and Hera	STRIP_TO_BARE	son	Zeus and Hera			"son of X" pattern
7422	Ares	Greek	lover of Aphrodite	TITLE_MOVE				domain	title not present in any other field
7422	Ares	Greek	father of Eros, Phobos, Deimos, Harmonia (by Aphrodite)	STRIP_TO_BARE	father	Eros, Phobos, Deimos, Harmonia (by Aphrodite)			"father of X" pattern
7422	Ares	Greek	god of war	TITLE_MOVE				domain	title not present in any other field
7432	Amphitrite	Greek	daughter of Nereus and Doris	STRIP_TO_BARE	daughter	Nereus and Doris			"daughter of X" pattern
7432	Amphitrite	Greek	one of the fifty Nereids	TITLE_DUP			domain		full string already in domain
7432	Amphitrite	Greek	wife of Poseidon	STRIP_TO_BARE	wife	Poseidon			"wife of X" pattern
7432	Amphitrite	Greek	mother of Triton	STRIP_TO_BARE	mother	Triton			"mother of X" pattern
6127	Demeter	Greek	daughter of Cronus and Rhea	STRIP_TO_BARE	daughter	Cronus and Rhea			"daughter of X" pattern
6127	Demeter	Greek	sister of Zeus, Hera, Poseidon, Hades, Hestia	STRIP_TO_BARE	sister	Zeus, Hera, Poseidon, Hades, Hestia			"sister of X" pattern
6127	Demeter	Greek	mother of Persephone (by Zeus)	STRIP_TO_BARE	mother	Persephone (by Zeus)			"mother of X" pattern
6127	Demeter	Greek	mother of Plutus (by Iasion)	STRIP_TO_BARE	mother	Plutus (by Iasion)			"mother of X" pattern
6127	Demeter	Greek	mother of Despoina and the horse Areion (by Poseidon)	STRIP_TO_BARE	mother	Despoina and the horse Areion (by Poseidon)			"mother of X" pattern
6099	Cronus	Greek	youngest son of Ouranos and Gaia	TITLE_MOVE				domain	title not present in any other field
6099	Cronus	Greek	husband of Rhea (his sister)	STRIP_TO_BARE	husband	Rhea (his sister)			"husband of X" pattern
6099	Cronus	Greek	father of the first six Olympians	STRIP_TO_BARE	father	the first six Olympians			"father of X" pattern
6099	Cronus	Greek	Titan king before Zeus	TITLE_MOVE				character_trait	title not present in any other field
6632	Erlang Shen	Chinese	nephew of the Jade Emperor	TITLE_MOVE				domain	title not present in any other field
6632	Erlang Shen	Chinese	master of the Howling Celestial Dog	TITLE_MOVE				domain	title not present in any other field
6632	Erlang Shen	Chinese	three-eyed warrior-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7484	Xiwangmu	Chinese	Queen Mother of the West	TITLE_MOVE				character_trait	title not present in any other field
7484	Xiwangmu	Chinese	goddess of Mount Kunlun and the western paradise	TITLE_DUP			domain		"paradise" already in domain
7484	Xiwangmu	Chinese	keeper of the peaches of immortality	TITLE_DUP			domain		"immortality" already in domain
