id	name	tradition	value	action	bucket	reason
7415	Ebisu	Shinto	merchant-prosperity	KEEP	1-2 hyphens	narrow event-type
7317	Gilgamesh	Mesopotamian	heroic quest	KEEP	1-2 hyphens	narrow event-type
7317	Gilgamesh	Mesopotamian	cosmic battle	KEEP	1-2 hyphens	narrow event-type
7317	Gilgamesh	Mesopotamian	descent to the eastern garden	KEEP	1-2 hyphens	narrow event-type
7317	Gilgamesh	Mesopotamian	failed immortality-quest	KEEP	1-2 hyphens	narrow event-type
7340	God-the-Father	Abrahamic	creation	KEEP	1-2 hyphens	narrow event-type
7340	God-the-Father	Abrahamic	covenant	KEEP	1-2 hyphens	narrow event-type
7340	God-the-Father	Abrahamic	sending of the Son	KEEP	1-2 hyphens	narrow event-type
7340	God-the-Father	Abrahamic	outpouring of the Spirit	KEEP	1-2 hyphens	narrow event-type
7340	God-the-Father	Abrahamic	final consummation	KEEP	1-2 hyphens	narrow event-type
7214	Bedawang Nala	Balinese	world creation	KEEP	1-2 hyphens	narrow event-type
6316	Khepri	Egyptian	world creation	KEEP	1-2 hyphens	narrow event-type
6634	Zhurong	Chinese	fire-deity	REJECT	identity-keyword	contains identity keyword
6634	Zhurong	Chinese	victory-over-Gonggong	KEEP	1-2 hyphens	narrow event-type
6634	Zhurong	Chinese	bringing-fire-to-humanity	REVIEW	3 hyphens	borderline — manual check
7397	Hiranyakashipu	Hindu	tapas-boon-acquisition	KEEP	1-2 hyphens	narrow event-type
7397	Hiranyakashipu	Hindu	apotheosis	KEEP	1-2 hyphens	narrow event-type
7397	Hiranyakashipu	Hindu	son-persecution	KEEP	1-2 hyphens	narrow event-type
7397	Hiranyakashipu	Hindu	being slain by Narasiṃha	KEEP	1-2 hyphens	narrow event-type
7208	Igigi	Mesopotamian	rebellion	KEEP	1-2 hyphens	narrow event-type
7208	Igigi	Mesopotamian	laboring	KEEP	1-2 hyphens	narrow event-type
7208	Igigi	Mesopotamian	replacement	KEEP	1-2 hyphens	narrow event-type
6100	Tiamat	Mesopotamian	primordial existence	KEEP	1-2 hyphens	narrow event-type
6100	Tiamat	Mesopotamian	cosmic battle	KEEP	1-2 hyphens	narrow event-type
6100	Tiamat	Mesopotamian	death by combat	KEEP	1-2 hyphens	narrow event-type
6100	Tiamat	Mesopotamian	transformation at death	KEEP	1-2 hyphens	narrow event-type
7483	Laozi	Chinese	authorship-of-the-Daodejing	REVIEW	3 hyphens	borderline — manual check
7483	Laozi	Chinese	departure-west-on-the-ox	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7483	Laozi	Chinese	apotheosis	KEEP	1-2 hyphens	narrow event-type
7428	Erebus	Greek	cosmic-primal-being	REJECT	identity-keyword	contains identity keyword
7428	Erebus	Greek	generation-of-Aether-and-Hemera	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7504	Maitreya	Buddhist	awaiting-in-the-Tushita-heaven	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7504	Maitreya	Buddhist	the-future-Buddhahood	REJECT	the-prefix	identity-statement disguised as event
7504	Maitreya	Buddhist	the-re-establishment-of-the-Dharma	REJECT	the-prefix	identity-statement disguised as event
7287	Mary	Abrahamic	annunciation	KEEP	1-2 hyphens	narrow event-type
7287	Mary	Abrahamic	virginal conception	KEEP	1-2 hyphens	narrow event-type
7287	Mary	Abrahamic	childbirth	KEEP	1-2 hyphens	narrow event-type
7287	Mary	Abrahamic	flight	KEEP	1-2 hyphens	narrow event-type
7287	Mary	Abrahamic	intercession	KEEP	1-2 hyphens	narrow event-type
7287	Mary	Abrahamic	witness to crucifixion	KEEP	1-2 hyphens	narrow event-type
7287	Mary	Abrahamic	assumption (in Catholic tradition)	KEEP	1-2 hyphens	narrow event-type
7434	Nereus	Greek	Nereid-fathering	KEEP	1-2 hyphens	narrow event-type
7434	Nereus	Greek	shapeshifting-wrestling-with-Heracles	REVIEW	3 hyphens	borderline — manual check
7434	Nereus	Greek	prophetic-truth-telling	KEEP	1-2 hyphens	narrow event-type
7229	Agdistis	Phrygian	androgynous-birth-from-the-seed-of-Zeus	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7229	Agdistis	Phrygian	the-castration-by-the-gods	REJECT	the-prefix	identity-statement disguised as event
7229	Agdistis	Phrygian	the-engendering-of-Attis-through-the-almond	REJECT	the-prefix	identity-statement disguised as event
7229	Agdistis	Phrygian	the-driving-of-Attis-to-madness	REJECT	the-prefix	identity-statement disguised as event
7476	Nanahuatzin	Aztec	self-immolation-at-Teotihuacan	REVIEW	3 hyphens	borderline — manual check
7476	Nanahuatzin	Aztec	transformation-into-fifth-sun	REVIEW	3 hyphens	borderline — manual check
6739	Kali	Hindu	emergence	KEEP	1-2 hyphens	narrow event-type
6739	Kali	Hindu	slays monster	KEEP	1-2 hyphens	narrow event-type
6739	Kali	Hindu	blood-drinking	KEEP	1-2 hyphens	narrow event-type
6739	Kali	Hindu	cosmic battle	KEEP	1-2 hyphens	narrow event-type
7384	Nandi	Hindu	devotional service	KEEP	1-2 hyphens	narrow event-type
7384	Nandi	Hindu	gatekeeping	KEEP	1-2 hyphens	narrow event-type
7384	Nandi	Hindu	teaching-reception	KEEP	1-2 hyphens	narrow event-type
7384	Nandi	Hindu	mount-bearing	KEEP	1-2 hyphens	narrow event-type
7261	The Alcis	Germanic	sacred ritual	KEEP	1-2 hyphens	narrow event-type
6838	Nehalennia	Germanic	the-protectress-of-North-Sea-seafarers-and-merchants	REJECT	the-prefix	identity-statement disguised as event
6838	Nehalennia	Germanic	known-entirely-from-votive-altars	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7091	Baldr	Norse	prophetic dream	KEEP	1-2 hyphens	narrow event-type
7091	Baldr	Norse	divine-omen	KEEP	1-2 hyphens	narrow event-type
7091	Baldr	Norse	death-by-trick	KEEP	1-2 hyphens	narrow event-type
7091	Baldr	Norse	funeral	KEEP	1-2 hyphens	narrow event-type
7091	Baldr	Norse	underworld-journey-(by Hermóðr)	KEEP	1-2 hyphens	narrow event-type
7091	Baldr	Norse	post-Ragnarok return	KEEP	1-2 hyphens	narrow event-type
7506	Vairocana	Buddhist	embodiment-of-the-Dharmakaya	REVIEW	3 hyphens	borderline — manual check
7506	Vairocana	Buddhist	centre-of-the-Five-Tathagata-mandala	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7506	Vairocana	Buddhist	the-cosmos-as-self-expression	REJECT	the-prefix	identity-statement disguised as event
6784	Tammuz	Mesopotamian	descent to underworld	KEEP	1-2 hyphens	narrow event-type
7519	Hunahpu	Maya	the-trials-of-Xibalba	REJECT	the-prefix	identity-statement disguised as event
7519	Hunahpu	Maya	restoration	KEEP	1-2 hyphens	narrow event-type
7519	Hunahpu	Maya	the-defeat-of-the-underworld-lords	REJECT	the-prefix	identity-statement disguised as event
7519	Hunahpu	Maya	the-ascent-to-become-the-sun	REJECT	the-prefix	identity-statement disguised as event
6786	Nerthus	Germanic	the-Terra-Mater-of-the-Germanic-tribes	REJECT	the-prefix	identity-statement disguised as event
6786	Nerthus	Germanic	the-processional-cart-and-the-season-of-peace	REJECT	the-prefix	identity-statement disguised as event
6786	Nerthus	Germanic	the-secret-washing-in-the-lake	REJECT	the-prefix	identity-statement disguised as event
6236	Kvasir	Norse	peacemaking birth	KEEP	1-2 hyphens	narrow event-type
6236	Kvasir	Norse	murder	KEEP	1-2 hyphens	narrow event-type
6236	Kvasir	Norse	transformation of body into mead	KEEP	1-2 hyphens	narrow event-type
7104	Móði and Magni	Norse	ragnarok survival	KEEP	1-2 hyphens	narrow event-type
7104	Móði and Magni	Norse	inheritance	KEEP	1-2 hyphens	narrow event-type
7430	Oceanus	Greek	Titanic-firstborn	KEEP	1-2 hyphens	narrow event-type
7430	Oceanus	Greek	massive-progeny-generation	KEEP	1-2 hyphens	narrow event-type
7430	Oceanus	Greek	aloof-from-Titanomachy	KEEP	1-2 hyphens	narrow event-type
6759	Shiva	Hindu	cosmic battle	KEEP	1-2 hyphens	narrow event-type
6759	Shiva	Hindu	boon-granting	KEEP	1-2 hyphens	narrow event-type
6759	Shiva	Hindu	destruction	KEEP	1-2 hyphens	narrow event-type
6759	Shiva	Hindu	ascetic withdrawal	KEEP	1-2 hyphens	narrow event-type
6759	Shiva	Hindu	transformation	KEEP	1-2 hyphens	narrow event-type
6759	Shiva	Hindu	manifestation	KEEP	1-2 hyphens	narrow event-type
6736	Sophia	Gnostic	the-fall-or-presumption-of-Sophia	REJECT	the-prefix	identity-statement disguised as event
6736	Sophia	Gnostic	the-bringing-forth-of-Yaldabaoth	REJECT	the-prefix	identity-statement disguised as event
6736	Sophia	Gnostic	the-repentance-and-redemption	REJECT	the-prefix	identity-statement disguised as event
6320	Caryatis	Greek	seduction	KEEP	1-2 hyphens	narrow event-type
7427	Tartarus	Greek	cosmic-primal-being	REJECT	identity-keyword	contains identity keyword
7427	Tartarus	Greek	Titan-imprisonment	KEEP	1-2 hyphens	narrow event-type
7427	Tartarus	Greek	generation-of-Typhon	KEEP	1-2 hyphens	narrow event-type
7361	Audhumla	Norse	primordial emergence	KEEP	1-2 hyphens	narrow event-type
7361	Audhumla	Norse	nourishing	KEEP	1-2 hyphens	narrow event-type
7361	Audhumla	Norse	revelation of Búri	KEEP	1-2 hyphens	narrow event-type
6306	Hundun	Chinese	primordial-undifferentiation	KEEP	1-2 hyphens	narrow event-type
6306	Hundun	Chinese	death-by-the-boring-of-orifices	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7163	Nāga	Hindu	ancestral enmity with Garuḍa	KEEP	1-2 hyphens	narrow event-type
7163	Nāga	Hindu	treasure-guardianship	KEEP	1-2 hyphens	narrow event-type
7163	Nāga	Hindu	underworld-rule	KEEP	1-2 hyphens	narrow event-type
7477	Tecuciztecatl	Aztec	hesitation-at-Teotihuacan	KEEP	1-2 hyphens	narrow event-type
7477	Tecuciztecatl	Aztec	transformation-into-moon	KEEP	1-2 hyphens	narrow event-type
7477	Tecuciztecatl	Aztec	rabbit-thrown-to-dim	REVIEW	3 hyphens	borderline — manual check
7474	Tonatiuh	Aztec	fifth-sun-emergence-at-Teotihuacan	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7474	Tonatiuh	Aztec	Nanahuatzin-transformation	KEEP	1-2 hyphens	narrow event-type
7474	Tonatiuh	Aztec	presidency	KEEP	1-2 hyphens	narrow event-type
7474	Tonatiuh	Aztec	daily-blood-demand	KEEP	1-2 hyphens	narrow event-type
6101	Valkyrie	Norse	battle-choosing	KEEP	1-2 hyphens	narrow event-type
6101	Valkyrie	Norse	mead-serving	KEEP	1-2 hyphens	narrow event-type
6101	Valkyrie	Norse	sacred betrothal (Sigrdrífa)	KEEP	1-2 hyphens	narrow event-type
7096	Njörðr	Norse	Vanir-hostage-exchange	KEEP	1-2 hyphens	narrow event-type
7096	Njörðr	Norse	sea-god patronage	KEEP	1-2 hyphens	narrow event-type
7096	Njörðr	Norse	failed marriage	KEEP	1-2 hyphens	narrow event-type
7096	Njörðr	Norse	choosing-by-feet	KEEP	1-2 hyphens	narrow event-type
7518	Ix Chel	Maya	the-moon-and-childbirth-goddess	REJECT	the-prefix	identity-statement disguised as event
7518	Ix Chel	Maya	cult	KEEP	1-2 hyphens	narrow event-type
7518	Ix Chel	Maya	the-aged-flood-pouring-aspect	REJECT	the-prefix	identity-statement disguised as event
7354	Sif	Norse	hair-cutting and dwarven re-creation	KEEP	1-2 hyphens	narrow event-type
7354	Sif	Norse	marriage	KEEP	1-2 hyphens	narrow event-type
7354	Sif	Norse	motherhood	KEEP	1-2 hyphens	narrow event-type
7222	Vajrapani	Buddhist	embodiment-of-the-Buddhas'-power	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7222	Vajrapani	Buddhist	protection	KEEP	1-2 hyphens	narrow event-type
7509	Mahakala	Buddhist	principal-dharmapala-protector	KEEP	1-2 hyphens	narrow event-type
7509	Mahakala	Buddhist	derivation-from-the-Hindu-Mahakala	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7509	Mahakala	Buddhist	the-East-Asian-development-as-Daikokuten	REJECT	the-prefix	identity-statement disguised as event
7447	Vulcan	Roman	syncretism	KEEP	1-2 hyphens	narrow event-type
7447	Vulcan	Roman	indigenous-Volcanus-origin	KEEP	1-2 hyphens	narrow event-type
7447	Vulcan	Roman	cult	KEEP	1-2 hyphens	narrow event-type
7447	Vulcan	Roman	post-fire-shrine-expansion	REVIEW	3 hyphens	borderline — manual check
7486	Yandi	Chinese	battle-of-Banquan	KEEP	1-2 hyphens	narrow event-type
7486	Yandi	Chinese	merger-with-the-Yellow-Emperor's-people	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7486	Yandi	Chinese	identification-with-Shennong	KEEP	1-2 hyphens	narrow event-type
6621	Asteria	Greek	exile	KEEP	1-2 hyphens	narrow event-type
6623	Emperor Taizu of Song	Chinese	overthrows ruler	KEEP	1-2 hyphens	narrow event-type
6625	Zhunti Daoren	Chinese	slays monster	KEEP	1-2 hyphens	narrow event-type
7524	Vucub-Came	Maya	paramount-lord-of-Xibalba	REJECT	identity-keyword	contains identity keyword
7524	Vucub-Came	Maya	co-presiding-over-the-trials	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7524	Vucub-Came	Maya	the-defeat-by-the-Hero-Twins	REJECT	the-prefix	identity-statement disguised as event
7425	Chaos	Greek	cosmic-primal-being	REJECT	identity-keyword	contains identity keyword
7425	Chaos	Greek	source-of-Erebus-and-Nyx	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
6957	Pales	Roman	founding	KEEP	1-2 hyphens	narrow event-type
7339	Allah	Abrahamic	creation	KEEP	1-2 hyphens	narrow event-type
7339	Allah	Abrahamic	revelation	KEEP	1-2 hyphens	narrow event-type
7339	Allah	Abrahamic	covenant	KEEP	1-2 hyphens	narrow event-type
7339	Allah	Abrahamic	judgment	KEEP	1-2 hyphens	narrow event-type
7339	Allah	Abrahamic	providence	KEEP	1-2 hyphens	narrow event-type
6139	Gabriel	Abrahamic	revelation	KEEP	1-2 hyphens	narrow event-type
6139	Gabriel	Abrahamic	interpretation	KEEP	1-2 hyphens	narrow event-type
6139	Gabriel	Abrahamic	annunciation	KEEP	1-2 hyphens	narrow event-type
7350	Leviathan	Abrahamic	messianic feast	KEEP	1-2 hyphens	narrow event-type
7350	Leviathan	Abrahamic	primordial defeat	KEEP	1-2 hyphens	narrow event-type
7350	Leviathan	Abrahamic	cosmic combat	KEEP	1-2 hyphens	narrow event-type
6767	Lilith	Abrahamic	origin	KEEP	1-2 hyphens	narrow event-type
6767	Lilith	Abrahamic	exile	KEEP	1-2 hyphens	narrow event-type
6767	Lilith	Abrahamic	curse	KEEP	1-2 hyphens	narrow event-type
6767	Lilith	Abrahamic	demon-binding	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	creation	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	covenant	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	theophany	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	revelation	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	judgment	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	deliverance	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	exile	KEEP	1-2 hyphens	narrow event-type
7338	YHWH	Abrahamic	restoration	KEEP	1-2 hyphens	narrow event-type
6697	Phoroneus	Greek	founding	KEEP	1-2 hyphens	narrow event-type
7041	Izanami-no-Mikoto	Shinto	world creation	KEEP	1-2 hyphens	narrow event-type
7142	Centzonhuītznāhua	Aztec	slays kin	KEEP	1-2 hyphens	narrow event-type
7142	Centzonhuītznāhua	Aztec	betrayal	KEEP	1-2 hyphens	narrow event-type
6104	Eve	Abrahamic	creation	KEEP	1-2 hyphens	narrow event-type
6104	Eve	Abrahamic	transgression	KEEP	1-2 hyphens	narrow event-type
6104	Eve	Abrahamic	primordial parenthood	KEEP	1-2 hyphens	narrow event-type
6104	Eve	Abrahamic	first mourning	KEEP	1-2 hyphens	narrow event-type
6105	Agreus and Nomios	Greek	slays kin	KEEP	1-2 hyphens	narrow event-type
6105	Agreus and Nomios	Greek	gift to humanity	KEEP	1-2 hyphens	narrow event-type
7256	Yaldabaoth	Gnostic	being-brought-forth-by-Sophia-alone	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7256	Yaldabaoth	Gnostic	the-fashioning-of-the-material-cosmos	REJECT	the-prefix	identity-statement disguised as event
7256	Yaldabaoth	Gnostic	the-false-proclamation-of-sole-divinity	REJECT	the-prefix	identity-statement disguised as event
7256	Yaldabaoth	Gnostic	the-imprisoning-of-the-divine-spark	REJECT	the-prefix	identity-statement disguised as event
6630	Brimo	Greek	descent to underworld	KEEP	1-2 hyphens	narrow event-type
6629	Chicomecoatl	Aztec	gift to humanity	KEEP	1-2 hyphens	narrow event-type
6631	Othryoneus	Greek	slays kin	KEEP	1-2 hyphens	narrow event-type
7527	Ixtab	Maya	the-conducting-of-a-particular-class-of-the-dead-to-paradise	REJECT	the-prefix	identity-statement disguised as event
7129	Huītzilōpōchtli	Aztec	gift to humanity	KEEP	1-2 hyphens	narrow event-type
7133	Tezcatlipoca	Aztec	cosmic-conflict-with-Quetzalcoatl	REVIEW	3 hyphens	borderline — manual check
7133	Tezcatlipoca	Aztec	first-sun	KEEP	1-2 hyphens	narrow event-type
7133	Tezcatlipoca	Aztec	jaguar-transformation	KEEP	1-2 hyphens	narrow event-type
7133	Tezcatlipoca	Aztec	foot-loss-to-Tlaltecuhtli	REVIEW	3 hyphens	borderline — manual check
7251	Nanāhuātzin	Aztec	humanity creation	KEEP	1-2 hyphens	narrow event-type
7295	Kingu	Mesopotamian	kingship	KEEP	1-2 hyphens	narrow event-type
7295	Kingu	Mesopotamian	defeat	KEEP	1-2 hyphens	narrow event-type
7295	Kingu	Mesopotamian	sacrifice	KEEP	1-2 hyphens	narrow event-type
7246	Loki	Norse	shape-shifting	KEEP	1-2 hyphens	narrow event-type
7246	Loki	Norse	treachery	KEEP	1-2 hyphens	narrow event-type
7246	Loki	Norse	wager-and-trickery	KEEP	1-2 hyphens	narrow event-type
7246	Loki	Norse	Baldr's death	KEEP	1-2 hyphens	narrow event-type
7246	Loki	Norse	binding	KEEP	1-2 hyphens	narrow event-type
7246	Loki	Norse	Ragnarok release and combat	KEEP	1-2 hyphens	narrow event-type
6439	Lingbao Tianzun	Chinese	scripture-transmission	KEEP	1-2 hyphens	narrow event-type
6439	Lingbao Tianzun	Chinese	second-of-the-Three-Pure-Ones	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
6107	Tu'er Shen	Chinese	punishment	KEEP	1-2 hyphens	narrow event-type
7213	Barong	Balinese	the-protective-beast-spirit	REJECT	the-prefix	identity-statement disguised as event
7213	Barong	Balinese	the-eternal-battle-with-Rangda	REJECT	the-prefix	identity-statement disguised as event
7213	Barong	Balinese	the-enacting-of-rwa-bhineda	REJECT	the-prefix	identity-statement disguised as event
7508	Samantabhadra	Buddhist	embodiment-of-the-bodhisattva-practice	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7508	Samantabhadra	Buddhist	the-ten-great-vows	REJECT	the-prefix	identity-statement disguised as event
7508	Samantabhadra	Buddhist	the-Nyingma-primordial-Buddha	REJECT	the-prefix	identity-statement disguised as event
7510	Vaisravana	Buddhist	chief-of-the-Four-Heavenly-Kings	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7510	Vaisravana	Buddhist	guardian-of-the-north	REVIEW	3 hyphens	borderline — manual check
7510	Vaisravana	Buddhist	god-of-wealth	KEEP	1-2 hyphens	narrow event-type
7510	Vaisravana	Buddhist	the-East-Asian-development-as-Bishamonten	REJECT	the-prefix	identity-statement disguised as event
7220	Manjushri	Buddhist	embodiment-of-transcendent-wisdom	REVIEW	3 hyphens	borderline — manual check
7220	Manjushri	Buddhist	the-great-sutra-interlocutor	REJECT	the-prefix	identity-statement disguised as event
7346	Samael	Abrahamic	seduction (in Eden)	KEEP	1-2 hyphens	narrow event-type
7346	Samael	Abrahamic	accusation	KEEP	1-2 hyphens	narrow event-type
7346	Samael	Abrahamic	death	KEEP	1-2 hyphens	narrow event-type
7346	Samael	Abrahamic	demonic kingship (Kabbalah)	KEEP	1-2 hyphens	narrow event-type
6111	Ishtar	Mesopotamian	descent to underworld	KEEP	1-2 hyphens	narrow event-type
6111	Ishtar	Mesopotamian	cosmic battle	KEEP	1-2 hyphens	narrow event-type
6111	Ishtar	Mesopotamian	courtship rejected	KEEP	1-2 hyphens	narrow event-type
6111	Ishtar	Mesopotamian	king-making	KEEP	1-2 hyphens	narrow event-type
7326	Arsay	Canaanite	divine daughter	KEEP	1-2 hyphens	narrow event-type
7331	Baal-Hammon	Canaanite	state-cult patronage	REJECT	identity-keyword	contains identity keyword
7331	Baal-Hammon	Canaanite	sacrifice-receiving	KEEP	1-2 hyphens	narrow event-type
6756	Odin	Norse	world creation	KEEP	1-2 hyphens	narrow event-type
6756	Odin	Norse	quest	KEEP	1-2 hyphens	narrow event-type
6756	Odin	Norse	sacrifice	KEEP	1-2 hyphens	narrow event-type
6756	Odin	Norse	theft	KEEP	1-2 hyphens	narrow event-type
6756	Odin	Norse	cosmic battle	KEEP	1-2 hyphens	narrow event-type
6756	Odin	Norse	death of god	KEEP	1-2 hyphens	narrow event-type
7335	Danel	Canaanite	petition for offspring	KEEP	1-2 hyphens	narrow event-type
7335	Danel	Canaanite	grief	KEEP	1-2 hyphens	narrow event-type
7335	Danel	Canaanite	curse	KEEP	1-2 hyphens	narrow event-type
7335	Danel	Canaanite	divine intercession	KEEP	1-2 hyphens	narrow event-type
6114	Uroboros	Cross-cultural	world creation	KEEP	1-2 hyphens	narrow event-type
6114	Uroboros	Cross-cultural	cosmic cycle	KEEP	1-2 hyphens	narrow event-type
7334	Kirta	Canaanite	heroic quest	KEEP	1-2 hyphens	narrow event-type
7334	Kirta	Canaanite	divine bridal-quest	KEEP	1-2 hyphens	narrow event-type
7334	Kirta	Canaanite	dynasty-founding	KEEP	1-2 hyphens	narrow event-type
7334	Kirta	Canaanite	restoration	KEEP	1-2 hyphens	narrow event-type
7334	Kirta	Canaanite	dream-vision	KEEP	1-2 hyphens	narrow event-type
7333	Milcom	Canaanite	national-royal patronage	KEEP	1-2 hyphens	narrow event-type
6117	Hermes	Greek	descent to underworld	KEEP	1-2 hyphens	narrow event-type
7414	Daikokuten	Shinto	syncretism	KEEP	1-2 hyphens	narrow event-type
7414	Daikokuten	Shinto	wealth-bestowal	KEEP	1-2 hyphens	narrow event-type
7190	Aengus	Celtic	quest	KEEP	1-2 hyphens	narrow event-type
7190	Aengus	Celtic	seduction	KEEP	1-2 hyphens	narrow event-type
7184	Brigid	Celtic	healing	KEEP	1-2 hyphens	narrow event-type
7184	Brigid	Celtic	gift to humanity	KEEP	1-2 hyphens	narrow event-type
7184	Brigid	Celtic	invention	KEEP	1-2 hyphens	narrow event-type
6118	Lady of the Beasts	Cross-cultural	dominion over animals	KEEP	1-2 hyphens	narrow event-type
6118	Lady of the Beasts	Cross-cultural	sacred hunt	KEEP	1-2 hyphens	narrow event-type
7498	Cao Guojiu	Chinese	renunciation-of-imperial-rank	REVIEW	3 hyphens	borderline — manual check
7498	Cao Guojiu	Chinese	mountain-cultivation	KEEP	1-2 hyphens	narrow event-type
7498	Cao Guojiu	Chinese	immortality	KEEP	1-2 hyphens	narrow event-type
6506	Che Kung	Chinese	slays monster	KEEP	1-2 hyphens	narrow event-type
7487	Chang'e	Chinese	immortality	KEEP	1-2 hyphens	narrow event-type
7487	Chang'e	Chinese	floating-to-the-moon	REVIEW	3 hyphens	borderline — manual check
7487	Chang'e	Chinese	eternal-separation-from-Hou-Yi	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
6665	Fuxi	Chinese	invention-of-the-trigrams	REVIEW	3 hyphens	borderline — manual check
6665	Fuxi	Chinese	culture-hero-inventions	KEEP	1-2 hyphens	narrow event-type
6665	Fuxi	Chinese	brother-husband-of-Nüwa	REVIEW	3 hyphens	borderline — manual check
6665	Fuxi	Chinese	flood-survival-and-repopulation	REVIEW	3 hyphens	borderline — manual check
6671	Gonggong	Chinese	contention-for-supremacy	KEEP	1-2 hyphens	narrow event-type
6671	Gonggong	Chinese	smashing-Mount-Buzhou	KEEP	1-2 hyphens	narrow event-type
6671	Gonggong	Chinese	tilting-the-cosmos	KEEP	1-2 hyphens	narrow event-type
6671	Gonggong	Chinese	necessitating-Nüwa-sky-repair	REVIEW	3 hyphens	borderline — manual check
7493	Guanyin	Chinese	hearing-the-cries-of-the-world	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7493	Guanyin	Chinese	gender-transformation-male-to-female	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7493	Guanyin	Chinese	the-Miaoshan-self-sacrifice	REJECT	the-prefix	identity-statement disguised as event
7493	Guanyin	Chinese	aiding-the-Journey-to-the-West	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
6419	Phaethon	Greek	loss of power	KEEP	1-2 hyphens	narrow event-type
7446	Mercury	Roman	syncretism	KEEP	1-2 hyphens	narrow event-type
7446	Mercury	Roman	founding	KEEP	1-2 hyphens	narrow event-type
7446	Mercury	Roman	German-interpretatio-Romana	KEEP	1-2 hyphens	narrow event-type
