field	value	count	nodes
eventTypes	first mourning	1	Eve
eventTypes	fourth-sun-flood	1	Chalchiuhtlicue
eventTypes	baptismal-water-presidency	1	Chalchiuhtlicue
eventTypes	sister-wife-of-Tlaloc	1	Chalchiuhtlicue
eventTypes	sister-of-Huitzilopochtli	1	Coyolxauhqui
eventTypes	near-matricide-attempt	1	Coyolxauhqui
eventTypes	dismemberment-by-Huitzilopochtli	1	Coyolxauhqui
eventTypes	moon-etiology	1	Coyolxauhqui
eventTypes	Templo-Mayor-sacrifice-prototype	1	Coyolxauhqui
eventTypes	Tzitzimimeh-leadership	1	Itzpapalotl
eventTypes	cosmic-age-end-threat	1	Itzpapalotl
eventTypes	women-who-died-in-childbirth-patronage	1	Itzpapalotl
eventTypes	self-immolation-at-Teotihuacan	1	Nanahuatzin
eventTypes	transformation-into-fifth-sun	1	Nanahuatzin
eventTypes	hesitation-at-Teotihuacan	1	Tecuciztecatl
eventTypes	transformation-into-moon	1	Tecuciztecatl
eventTypes	rabbit-thrown-to-dim	1	Tecuciztecatl
eventTypes	cosmic-conflict-with-Quetzalcoatl	1	Tezcatlipoca
eventTypes	first-sun	1	Tezcatlipoca
eventTypes	jaguar-transformation	1	Tezcatlipoca
eventTypes	foot-loss-to-Tlaltecuhtli	1	Tezcatlipoca
eventTypes	the-formless-supreme-godhead	1	Acintya
eventTypes	the-source-of-all-other-deities	1	Acintya
eventTypes	the-empty-padmasana-shrine	1	Acintya
eventTypes	the-protective-beast-spirit	1	Barong
eventTypes	the-eternal-battle-with-Rangda	1	Barong
eventTypes	the-enacting-of-rwa-bhineda	1	Barong
eventTypes	embodiment-of-transcendent-wisdom	1	Manjushri
eventTypes	the-great-sutra-interlocutor	1	Manjushri
eventTypes	chief-of-the-Four-Heavenly-Kings	1	Vaisravana
eventTypes	guardian-of-the-north	1	Vaisravana
eventTypes	god-of-wealth	1	Vaisravana
eventTypes	the-East-Asian-development-as-Bishamonten	1	Vaisravana
eventTypes	embodiment-of-the-Buddhas'-power	1	Vajrapani
eventTypes	protector-of-the-Dharma	1	Vajrapani
eventTypes	courtship rejected	1	Ishtar
eventTypes	petition for offspring	1	Danel
eventTypes	grief	1	Danel
eventTypes	divine intercession	1	Danel
eventTypes	cosmic cycle	1	Uroboros
eventTypes	decree-giving	1	El
eventTypes	sacred marriage	1	El
eventTypes	divine bridal-quest	1	Kirta
eventTypes	dynasty-founding	1	Kirta
eventTypes	illness-and-restoration	1	Kirta
eventTypes	dream-vision	1	Kirta
eventTypes	national-royal patronage	1	Milcom
eventTypes	dominion over animals	1	Lady of the Beasts
eventTypes	sacred hunt	1	Lady of the Beasts
eventTypes	renunciation-of-imperial-rank	1	Cao Guojiu
eventTypes	mountain-cultivation	1	Cao Guojiu
eventTypes	consuming-the-elixir-of-immortality	1	Chang'e
eventTypes	floating-to-the-moon	1	Chang'e
eventTypes	eternal-separation-from-Hou-Yi	1	Chang'e
eventTypes	Laozi-deification	1	Daode Tianzun
eventTypes	Dao-transmission	1	Daode Tianzun
eventTypes	third-of-the-Three-Pure-Ones	1	Daode Tianzun
eventTypes	invention-of-the-trigrams	1	Fuxi
eventTypes	brother-husband-of-Nüwa	1	Fuxi
eventTypes	flood-survival-and-repopulation	1	Fuxi
eventTypes	contention-for-supremacy	1	Gonggong
eventTypes	smashing-Mount-Buzhou	1	Gonggong
eventTypes	tilting-the-cosmos	1	Gonggong
eventTypes	necessitating-Nüwa-sky-repair	1	Gonggong
eventTypes	hearing-the-cries-of-the-world	1	Guanyin
eventTypes	gender-transformation-male-to-female	1	Guanyin
eventTypes	the-Miaoshan-self-sacrifice	1	Guanyin
eventTypes	aiding-the-Journey-to-the-West	1	Guanyin
eventTypes	eccentric-wandering-minstrelsy	1	Lan Caihe
eventTypes	ascension-from-the-tavern	1	Lan Caihe
eventTypes	the-Yellow-Millet-Dream	1	Lu Dongbin
eventTypes	the-ten-trials	1	Lu Dongbin
eventTypes	demon-slaying-wandering	1	Lu Dongbin
eventTypes	birth-from-ball-of-flesh	1	Nezha
eventTypes	slaying-of-the-Dragon-Kings-son	1	Nezha
eventTypes	flesh-and-bones-return-to-parents	1	Nezha
eventTypes	lotus-body-resurrection	1	Nezha
eventTypes	emergence-from-cosmic-egg	1	Pangu
eventTypes	separation-of-heaven-and-earth	1	Pangu
eventTypes	death-becoming-the-world	1	Pangu
eventTypes	model-sage-kingship	1	Yao
eventTypes	meritocratic-abdication-to-Shun	1	Yao
eventTypes	judgment-hall-stationing	1	Ammit
eventTypes	heart-devouring	1	Ammit
eventTypes	second-death-bestowal	1	Ammit
eventTypes	pacification with beer	1	Hathor
eventTypes	Seven-Hathor fate-pronouncement	1	Hathor
eventTypes	posthumous conception	1	Horus
eventTypes	childhood hiding from Set	1	Horus
eventTypes	80-year contest	1	Horus
eventTypes	recovery of throne	1	Horus
eventTypes	identification with living pharaoh	1	Horus
eventTypes	Theban-triad-mother	1	Mut
eventTypes	syncretic-merger-with-other-goddesses	1	Mut
eventTypes	mourning-of-Osiris	1	Nephthys
eventTypes	conception of Anubis (in most traditions)	1	Nephthys
eventTypes	canopic-jar guardianship	1	Nephthys
eventTypes	funerary mediation	1	Nephthys
eventTypes	cosmic incest with Geb	1	Nut
eventTypes	generation of the four (or five)	1	Nut
eventTypes	daily swallowing and birthing of the sun	1	Nut
eventTypes	starry sky	1	Nut
eventTypes	creation through thought and speech	1	Ptah
eventTypes	memphite-triad-headship	1	Ptah
eventTypes	craftsmanship-patronage	1	Ptah
eventTypes	vizier role	1	Mummu
eventTypes	capture	1	Mummu
eventTypes	daily cosmic transit	1	Ra
eventTypes	nightly battle with Apep	1	Ra
eventTypes	sun-disk creation	1	Ra
eventTypes	sending of the Eye	1	Ra
eventTypes	near-destruction-of-humanity	1	Sekhmet
eventTypes	pacification-by-beer	1	Sekhmet
eventTypes	plague-and-healing patron	1	Sekhmet
eventTypes	Nereid-birth	1	Amphitrite
eventTypes	dolphin-mediated-marriage	1	Amphitrite
eventTypes	queen-of-the-sea	1	Amphitrite
eventTypes	adulterous-affair-with-Aphrodite	1	Ares
eventTypes	wounded-by-mortal-hero	1	Ares
eventTypes	Iliadic-Olympian-combat	1	Ares
eventTypes	underworld-gate-guarding	1	Cerberus
eventTypes	being-captured-by-Heracles	1	Cerberus
eventTypes	being-pacified-by-music-or-cakes	1	Cerberus
eventTypes	fire-breathing	1	Chimera
eventTypes	ravaging-of-Lycia	1	Chimera
eventTypes	being-slain-by-Bellerophon	1	Chimera
eventTypes	divine flight and return	1	Tefnut
eventTypes	mother of Geb and Nut	1	Tefnut
eventTypes	generation-of-Aether-and-Hemera	1	Erebus
eventTypes	bestial-conception	1	Minotaur
eventTypes	Labyrinth-confinement	1	Minotaur
eventTypes	Athenian-tribute-devouring	1	Minotaur
eventTypes	being-slain-by-Theseus	1	Minotaur
eventTypes	Nereid-fathering	1	Nereus
eventTypes	shapeshifting-wrestling-with-Heracles	1	Nereus
eventTypes	prophetic-truth-telling	1	Nereus
eventTypes	cosmic-primal-pairing-with-Gaia	1	Ouranos
eventTypes	imprisonment-of-children	1	Ouranos
eventTypes	castration-by-Cronus	1	Ouranos
eventTypes	blood-engendered-offspring	1	Ouranos
eventTypes	Hellenistic-cult-explosion	1	Tyche
eventTypes	city-Tyche-personifications	1	Tyche
eventTypes	solar-collective rule	1	Adityas
eventTypes	sacrificial mediation	1	Agni
eventTypes	Khāṇḍava-forest burning	1	Agni
eventTypes	Veda-recitation	1	Brahma
eventTypes	head-loss	1	Brahma
eventTypes	liṅgodbhava confrontation	1	Brahma
eventTypes	birth-from-Avalokiteshvara's-tear	1	Tara
eventTypes	the-vow-to-work-for-beings-in-female-form	1	Tara
eventTypes	emanation from divine wrath	1	Durga
eventTypes	cosmic protection	1	Durga
eventTypes	creation from mother's body-substance	1	Ganesha
eventTypes	beheading and revival	1	Ganesha
eventTypes	elephant-head substitution	1	Ganesha
eventTypes	tusk-breaking	1	Ganesha
eventTypes	cosmic-race-with-Skanda	1	Ganesha
eventTypes	mother-rescue	1	Garuda
eventTypes	amṛta-theft	1	Garuda
eventTypes	serpent-enmity	1	Garuda
eventTypes	Viṣṇu-mount-status	1	Garuda
eventTypes	miraculous infancy	1	Hanuman
eventTypes	jaw-breaking-naming	1	Hanuman
eventTypes	ocean-leaping	1	Hanuman
eventTypes	Laṅkā-burning	1	Hanuman
eventTypes	Sañjīvani-lifting	1	Hanuman
eventTypes	eternal-life-grant	1	Hanuman
eventTypes	personal devotion	1	Ishtadevata
eventTypes	emergence	1	Kali
eventTypes	blood-drinking	1	Kali
eventTypes	prison-birth	1	Krishna
eventTypes	prophetic-escape	1	Krishna
eventTypes	butter-stealing	1	Krishna
eventTypes	Govardhana-lifting	1	Krishna
eventTypes	Kaṃsa-slaying	1	Krishna
eventTypes	Bhagavad-Gītā-teaching	1	Krishna
eventTypes	heel-wound-death	1	Krishna
eventTypes	cosmic-ocean-churning	1	Kurma
eventTypes	mountain-supporting	1	Kurma
eventTypes	enabling of cosmic-treasures	1	Kurma
eventTypes	devotional service	1	Nandi
eventTypes	gatekeeping	1	Nandi
eventTypes	teaching-reception	1	Nandi
eventTypes	mount-bearing	1	Nandi
eventTypes	divine love	1	Radha
eventTypes	viraha	1	Radha
eventTypes	model-of-bhakti	1	Radha
eventTypes	boon-granting	1	Shiva
eventTypes	destruction	1	Shiva
eventTypes	ascetic withdrawal	1	Shiva
eventTypes	manifestation	1	Shiva
eventTypes	miraculous birth from earth	1	Sita
eventTypes	agni-parīkṣā	1	Sita
eventTypes	banishment	1	Sita
eventTypes	return-to-earth-mother	1	Sita
eventTypes	royal solar emblem	1	Surya Majapahit
eventTypes	Majapahit imperial symbol	1	Surya Majapahit
eventTypes	battle-of-Zhuolu-against-Chiyou	1	Huangdi
eventTypes	ascension-to-heaven-on-a-dragon	1	Huangdi
eventTypes	daily-cosmic-appearance	1	Ushas
eventTypes	awakening	1	Ushas
eventTypes	transition	1	Ushas
eventTypes	recovery of tablets	1	Ninurta
eventTypes	organization	1	Ninurta
eventTypes	the-decapitation-and-restoration	1	Hunahpu
eventTypes	the-ascent-to-become-the-sun	1	Hunahpu
eventTypes	defeat-and-sacrifice-in-Xibalba	1	Hun Hunahpu
eventTypes	the-begetting-of-the-Hero-Twins-from-the-severed-head	1	Hun Hunahpu
eventTypes	the-resurrection-as-the-Maize-God	1	Hun Hunahpu
eventTypes	festival-divination	1	Lýtir
eventTypes	the-Feathered-Serpent-cult	1	Kukulkan
eventTypes	the-equinox-serpent-of-Chichen-Itza	1	Kukulkan
eventTypes	the-bringing-of-civilisation	1	Kukulkan
eventTypes	gift-giving	1	Anu
eventTypes	mother of Marduk	1	Damkina
eventTypes	flood-warning	1	Enki
eventTypes	miraculous creation	1	Enkidu
eventTypes	civilizing	1	Enkidu
eventTypes	companionship	1	Enkidu
eventTypes	death decreed by gods	1	Enkidu
eventTypes	primordial cosmic event	1	Shahar
eventTypes	death and resurrection	1	Inanna
eventTypes	cosmogony	1	Marduk
eventTypes	creation of humanity	1	Marduk
eventTypes	curse-and-heal	1	Ninhursag
eventTypes	partnership-with-Enki	1	Ninhursag
eventTypes	immortalization	1	Utnapishtim
eventTypes	sage-counsel	1	Utnapishtim
eventTypes	prophetic dream	1	Baldr
eventTypes	divine-omen	1	Baldr
eventTypes	death-by-trick	1	Baldr
eventTypes	funeral	1	Baldr
eventTypes	underworld-journey-(by Hermóðr)	1	Baldr
eventTypes	breaking-free at Ragnarök	1	Bound monster
eventTypes	reconciliation	1	Forseti
eventTypes	teaching	1	Freyja
eventTypes	acquisition	1	Freyja
eventTypes	lovesick longing	1	Freyr
eventTypes	divine bridal-quest (by proxy)	1	Freyr
eventTypes	disarmament-by-gift	1	Freyr
eventTypes	Ragnarok death	1	Freyr
eventTypes	spell-failure (distraction)	1	Groa
eventTypes	maternal protection	1	Groa
eventTypes	temple destruction	1	Tamfana
eventTypes	seasonal festival	1	Tamfana
eventTypes	cosmic boundary	1	Jörmungandr
eventTypes	ragnarok	1	Jörmungandr
eventTypes	supreme-celestial-administration	1	Jade Emperor
eventTypes	presiding-over-the-celestial-bureaucracy	1	Jade Emperor
eventTypes	Sun-Wukong-court-disruption	1	Jade Emperor
eventTypes	invention-of-agriculture	1	Shennong
eventTypes	herb-tasting-and-medicine-founding	1	Shennong
eventTypes	death-by-poisonous-herb	1	Shennong
eventTypes	peacemaking birth	1	Kvasir
eventTypes	murder	1	Kvasir
eventTypes	transformation of body into mead	1	Kvasir
eventTypes	guardianship of wisdom	1	Mímir
eventTypes	beheading	1	Mímir
eventTypes	preservation by Odin	1	Mímir
eventTypes	prophetic counsel	1	Mímir
eventTypes	inheritance	1	Móði and Magni
eventTypes	fate-assignment	1	Norns
eventTypes	cosmic maintenance	1	Norns
eventTypes	drowning	1	Ran
eventTypes	sea-claiming	1	Ran
eventTypes	treasure-hoarding	1	Ran
eventTypes	guarding	1	Surt
eventTypes	ragnarök conflagration	1	Surt
eventTypes	killing of Freyr	1	Surt
eventTypes	world-burning	1	Surt
eventTypes	primordial birth	1	Ymir
eventTypes	generative monstrosity	1	Ymir
eventTypes	cosmogonic killing	1	Ymir
eventTypes	world-creation from body	1	Ymir
eventTypes	Theban-triad-son	1	Khonsu
eventTypes	moon-transit	1	Khonsu
eventTypes	distant-travel	1	Khonsu
eventTypes	Asclepius-interpretatio	1	Aesculapius
eventTypes	293-BCE-importation-from-Epidaurus	1	Aesculapius
eventTypes	plague-ending	1	Aesculapius
eventTypes	Tiber-Island-temple-foundation	1	Aesculapius
eventTypes	Dionysus-interpretatio	1	Bacchus
eventTypes	186-BCE-Senate-suppression	1	Bacchus
eventTypes	Antony-Augustus-rehabilitation	1	Bacchus
eventTypes	Eros-interpretatio	1	Cupid
eventTypes	Dido-disguise	1	Cupid
eventTypes	Pan-interpretatio	1	Faunus
eventTypes	Lupercalia-festival	1	Faunus
eventTypes	Albunea-oracle	1	Faunus
eventTypes	indigenous-Italic-origin	1	Faunus
eventTypes	the-earth-born-primordial-god	1	Tuisto
eventTypes	the-head-of-the-Germanic-ethnogonic-genealogy	1	Tuisto
eventTypes	time-deity worship	1	Phra Kalachai Si
eventTypes	Southeast Asian Hindu syncretism	1	Phra Kalachai Si
eventTypes	Poseidon-interpretatio	1	Neptune
eventTypes	indigenous-freshwater-origin	1	Neptune
eventTypes	Augustan-cult-expansion	1	Neptune
eventTypes	household-storeroom-protection	1	Penates
eventTypes	state-cult-extension	1	Penates
eventTypes	Trojan-Penates-translation	1	Penates
eventTypes	family-deity-worship	1	Kuladevata
eventTypes	foundation-of-Rome	1	Romulus
eventTypes	Sabine-women-rape	1	Romulus
eventTypes	apotheosis-as-Quirinus	1	Romulus
eventTypes	Cronus-interpretatio	1	Saturn
eventTypes	Italic-Golden-Age-rule	1	Saturn
eventTypes	Saturnalia-festival	1	Saturn
eventTypes	aerarium-Saturni-treasury-presidency	1	Saturn
eventTypes	indigenous-Italic-rustic-deity	1	Silvanus
eventTypes	popular-non-state-cult	1	Silvanus
eventTypes	epigraphic-prominence	1	Silvanus
eventTypes	Hephaestus-interpretatio	1	Vulcan
eventTypes	indigenous-Volcanus-origin	1	Vulcan
eventTypes	Vulcanalia-festival	1	Vulcan
eventTypes	post-fire-shrine-expansion	1	Vulcan
eventTypes	child-taking	1	Máni
eventTypes	Hermopolitan-Ogdoad-membership	1	Amun
eventTypes	Theban-imperial-rise	1	Amun
eventTypes	Amun-Ra-fusion	1	Amun
eventTypes	Amarna-suppression	1	Amun
eventTypes	Eastern Expedition	1	Jimmu
eventTypes	golden-kite-vision	1	Jimmu
eventTypes	enthronement at Kashihara	1	Jimmu
eventTypes	founding of imperial line	1	Jimmu
eventTypes	accompaniment	1	Raphael
eventTypes	revelation of identity	1	Raphael
eventTypes	the-protectress-of-North-Sea-seafarers-and-merchants	1	Nehalennia
eventTypes	known-entirely-from-votive-altars	1	Nehalennia
eventTypes	testing	1	Mastema
eventTypes	adversarial action against Moses	1	Mastema
eventTypes	aid to Pharaoh	1	Mastema
eventTypes	mother-of-Aeneas	1	Venus
eventTypes	Julian-ancestress	1	Venus
eventTypes	cosmic-generative-principle (in Lucretius)	1	Venus
eventTypes	nourishing	1	Audhumla
eventTypes	revelation of Búri	1	Audhumla
eventTypes	foreknowledge	1	Frigg
eventTypes	foreordained loss	1	Frigg
eventTypes	earth-creation-by-dismemberment	1	Tlaltecuhtli
eventTypes	human-sacrifice-engendering	1	Tlaltecuhtli
eventTypes	Tezcatlipoca-foot-loss-event	1	Tlaltecuhtli
eventTypes	apocalyptic interpretation	1	Uriel
eventTypes	agricultural-renewal	1	Xipe-Totec
eventTypes	Tlacaxipehualiztli-festival	1	Xipe-Totec
eventTypes	flayed-skin-wearing	1	Xipe-Totec
eventTypes	Tezcatlipoca-Red-aspect	1	Xipe-Totec
eventTypes	primordial-undifferentiation	1	Hundun
eventTypes	death-by-the-boring-of-orifices	1	Hundun
eventTypes	self-engendered creation	1	Atum
eventTypes	generation of the Ennead	1	Atum
eventTypes	identification with the setting sun	1	Atum
eventTypes	kingship of Egypt	1	Osiris
eventTypes	agricultural teaching	1	Osiris
eventTypes	murder by Set	1	Osiris
eventTypes	dismemberment	1	Osiris
eventTypes	rescue by Isis	1	Osiris
eventTypes	posthumous fathering of Horus	1	Osiris
eventTypes	storm	1	Adad
eventTypes	divine roaring	1	Adad
eventTypes	the-youthful-Maize-God	1	Yum Kaax
eventTypes	the-god-of-the-forest-and-the-milpa	1	Yum Kaax
eventTypes	laboring	1	Igigi
eventTypes	replacement	1	Igigi
eventTypes	royal protection	1	Shuqamuna and Shumaliya
eventTypes	royal patronage	1	Astarte
eventTypes	divine consortship	1	Astarte
eventTypes	restraint of Baal	1	Astarte
eventTypes	searching	1	Shapash
eventTypes	oracle	1	Shapash
eventTypes	solar transit	1	Shapash
eventTypes	shape-shifting-duel-with-Sun-Wukong	1	Erlang Shen
eventTypes	capture-of-Sun-Wukong	1	Erlang Shen
eventTypes	flood-control	1	Erlang Shen
eventTypes	mountain-splitting-mother-rescue	1	Erlang Shen
eventTypes	cosmic restoration	1	Amaterasu
eventTypes	ancestral foundation	1	Amaterasu
eventTypes	massacre	1	Baduhenna
eventTypes	wifely devotion	1	Damayanti
eventTypes	reunion-after-separation	1	Damayanti
eventTypes	cosmic-androgynous union	1	Ardhanarishvara
eventTypes	sage-encounter	1	Ardhanarishvara
eventTypes	revelation of cosmic unity	1	Ardhanarishvara
eventTypes	sunrise-cosmic	1	Utu
eventTypes	Vanir-hostage-exchange	1	Njörðr
eventTypes	sea-god patronage	1	Njörðr
eventTypes	failed marriage	1	Njörðr
eventTypes	choosing-by-feet	1	Njörðr
eventTypes	Buddhist-Shintō-syncretic incorporation	1	Bishamonten
eventTypes	Four-Heavenly-Kings membership	1	Bishamonten
eventTypes	Chichimec-hunting-god	1	Mixcoatl
eventTypes	Milky-Way-personification	1	Mixcoatl
eventTypes	father-of-Topiltzin	1	Mixcoatl
eventTypes	succession conflict	1	Zeus
eventTypes	art-patronage	1	Xochipilli
eventTypes	hallucinogenic-plant-association	1	Xochipilli
eventTypes	ancestral enmity with Garuḍa	1	Nāga
eventTypes	cosmic rest	1	Vaikuntha Kamalaja
eventTypes	divine couple	1	Vaikuntha Kamalaja
eventTypes	pralaya-floating	1	Vaikuntha Kamalaja
eventTypes	lamentation	1	Ningal
eventTypes	condemnation	1	Ninlil
eventTypes	child-bearing	1	Ninlil
eventTypes	kingship-of-realm	1	Ereshkigal
eventTypes	killing	1	Ereshkigal
eventTypes	hair-cutting and dwarven re-creation	1	Sif
eventTypes	cult continuity	1	Asherah (Israelite)
eventTypes	popular consort-pairing with YHWH	1	Asherah (Israelite)
eventTypes	suppression by reform	1	Asherah (Israelite)
eventTypes	prophetic polemic	1	Asherah (Israelite)
eventTypes	the-resistance-to-the-archons	1	Norea
eventTypes	the-rescue-by-the-angel-Eleleth	1	Norea
eventTypes	the-receiving-of-the-Gnostic-revelation	1	Norea
eventTypes	the-first-emanation-of-the-Monad	1	Barbelo
eventTypes	the-supreme-feminine-principle	1	Barbelo
eventTypes	the-mother-of-the-Pleroma	1	Barbelo
eventTypes	first death (of his son)	1	Adam
eventTypes	contention	1	Michael
eventTypes	protection	1	Michael
eventTypes	eschatological role	1	Michael
eventTypes	prophetic empowerment	1	Holy Spirit
eventTypes	incarnation (conception of Jesus)	1	Holy Spirit
eventTypes	baptismal anointing	1	Holy Spirit
eventTypes	Pentecost	1	Holy Spirit
eventTypes	sanctification	1	Holy Spirit
eventTypes	miraculous deliverance from infancy	1	Moses
eventTypes	call (theophany)	1	Moses
eventTypes	plagues	1	Moses
eventTypes	exodus	1	Moses
eventTypes	sea-parting	1	Moses
eventTypes	law-giving	1	Moses
eventTypes	death (denied entry)	1	Moses
eventTypes	awaiting-in-the-Tushita-heaven	1	Maitreya
eventTypes	the-future-Buddhahood	1	Maitreya
eventTypes	the-re-establishment-of-the-Dharma	1	Maitreya
eventTypes	the-twelve-healing-vows	1	Bhaisajyaguru
eventTypes	the-establishment-of-the-eastern-lapis-lazuli-pure-land	1	Bhaisajyaguru
eventTypes	the-rice-goddess	1	Dewi Sri
eventTypes	patroness-of-the-rice-cycle-and-the-household	1	Dewi Sri
eventTypes	descent-substitution	1	Geshtinanna
eventTypes	devotion	1	Geshtinanna
eventTypes	the-restoration-of-Hunahpu	1	Xbalanque
eventTypes	the-ascent-to-become-the-moon	1	Xbalanque
eventTypes	Tyche-interpretatio	1	Fortuna
eventTypes	Italic-Praeneste-cult	1	Fortuna
eventTypes	Augustan-imperial-cult-expansion	1	Fortuna
eventTypes	principal-dharmapala-protector	1	Mahakala
eventTypes	derivation-from-the-Hindu-Mahakala	1	Mahakala
eventTypes	the-East-Asian-development-as-Daikokuten	1	Mahakala
