id	name	field	before	after
7434	Nereus	domain	Old Man of the Sea; the pre-Olympian wise sea-god; shapeshifter; father of the fifty Nereids	Old Man of the Sea; pre-Olympian wise sea-god; shapeshifter; father of the fifty Nereids
7233	Nun	domain	primordial waters, chaos, the abyss, pre-creation	primordial waters, chaos, abyss, pre-creation
7229	Agdistis	domain	a primordial Phrygian daemon of dual sex, born of the seed of Zeus fallen on the earth/the rock Agdos; the wild, untameable being from whose castration the almond-tree ultimately springs	a primordial Phrygian daemon of dual sex, born of the seed of Zeus fallen on the earth/the rock Agdos; wild, untameable being from whose castration the almond-tree ultimately springs
7378	Radha	object	lotus; flute; the swing on which she sits with Krshna	lotus; flute; swing on which she sits with Krshna
6759	Shiva	object	trident, drum, bow, battle-axe, skull-staff, skull-bowl, garland of skulls, rudraksha beads, the crescent moon, the river Ganga in his hair, ash, tiger and elephant skin	trident, drum, bow, battle-axe, skull-staff, skull-bowl, garland of skulls, rudraksha beads, crescent moon, river Ganga in his hair, ash, tiger and elephant skin
6916	Opochtli	domain	fishing, hunting, water, the left-handed, tools and weapons	fishing, hunting, water, left-handed, tools and weapons
7506	Vairocana	domain	the cosmic Buddha; the 'Illuminator'; in many Mahayana and all Vajrayana systems the central or primordial Buddha, the embodiment of the Dharmakaya	cosmic Buddha; 'Illuminator'; in many Mahayana and all Vajrayana systems the central or primordial Buddha, embodiment of the Dharmakaya
7506	Vairocana	object	the Dharma-wheel; the sun-disc	the Dharma-wheel; sun-disc
6784	Tammuz	domain	shepherding, fertility, vegetation, the dying-and-returning consort, midsummer mourning rites	shepherding, fertility, vegetation, dying-and-returning consort, midsummer mourning rites
7519	Hunahpu	domain	one of the K'iche' Maya Hero Twins of the Popol Vuh; with his twin Xbalanque, the conqueror of the lords of the underworld; finally raised to become the sun	one of the K'iche' Maya Hero Twins of the Popol Vuh; with his twin Xbalanque, conqueror of the lords of the underworld; finally raised to become the sun
7519	Hunahpu	object	the blowgun; the ball-game gear	blowgun; ball-game gear
7427	Tartarus	domain	the deepest abyss of the cosmos, beneath Hades; the prison of the Titans after the Titanomachy; both a place and a primordial being	deepest abyss of the cosmos, beneath Hades; prison of the Titans after the Titanomachy; both a place and a primordial being
7427	Tartarus	object	the great bronze-walled prison enclosing the defeated Titans	great bronze-walled prison enclosing the defeated Titans
6236	Kvasir	domain	poetry, the mead of poetry, wisdom, inspiration, fermentation	poetry, mead of poetry, wisdom, inspiration, fermentation
6236	Kvasir	object	his blood; the vats Bodn, Son, and the cauldron Odrerir into which his blood is collected	his blood; vats Bodn, Son, and the cauldron Odrerir into which his blood is collected
7448	Neptune	domain	the sea, water, horses, earthquakes; identified with Poseidon; originally an Italic freshwater-and-spring deity before the Greek identification	sea, water, horses, earthquakes; identified with Poseidon; originally an Italic freshwater-and-spring deity before the Greek identification
7447	Vulcan	object	hammer; tongs; anvil; the forge under Mount Etna or beneath the Forum	hammer; tongs; anvil; forge under Mount Etna or beneath the Forum
6318	Iusaaset	domain	creation, the hand of Atum, sexuality, Heliopolis	creation, hand of Atum, sexuality, Heliopolis
7413	Jimmu	object	the imperial regalia inherited from Ninigi; his bow on which the kite-spirit perched at Tomi	imperial regalia inherited from Ninigi; his bow on which the kite-spirit perched at Tomi
6306	Hundun	domain	primordial chaos, the undifferentiated, creation	primordial chaos, undifferentiated, creation
6403	Kuimulang	domain	astronomy, the constellations, protection	astronomy, constellations, protection
6405	Yin Cha	domain	the underworld, arrest of souls, enforcement	underworld, arrest of souls, enforcement
6615	Tychon	domain	fertility, the phallus, rustic religion	fertility, phallus, rustic religion
6101	Valkyrie	object	spear, shield, helm, mail; the cup of mead they bear to the einherjar; the loom of war	spear, shield, helm, mail; cup of mead they bear to the einherjar; loom of war
7096	Njörðr	domain	the sea, wind, wealth, fishing, sailing, harbors	sea, wind, wealth, fishing, sailing, harbors
7163	Nāga	domain	serpents, the underworld, water, treasure, guardianship, fertility	serpents, underworld, water, treasure, guardianship, fertility
7505	Ksitigarbha	domain	the bodhisattva of the hell-beings and of vows; he who vowed not to attain Buddhahood until all the hells are emptied; protector of children and travellers	bodhisattva of the hell-beings and of vows; he who vowed not to attain Buddhahood until all the hells are emptied; protector of children and travellers
7505	Ksitigarbha	object	the six-ringed monk's staff that forces open the gates of hell; the wish-fulfilling jewel that lights the darkness	six-ringed monk's staff that forces open the gates of hell; wish-fulfilling jewel that lights the darkness
7518	Ix Chel	object	the weaving-implements; the overturned water-jar; the serpent often worn in her hair	weaving-implements; overturned water-jar; serpent often worn in her hair
6408	Petbe	domain	revenge, violence, the underworld, chaos	revenge, violence, underworld, chaos
6407	Ba-pef	domain	pain, mourning, the underworld, dread	pain, mourning, underworld, dread
6406	Onuris	domain	war, hunting, the sky, slaying	war, hunting, sky, slaying
7226	Barbelo	domain	in the Sethian Gnostic systems, the first emanation of the unknowable Monad; the supreme feminine principle, the 'first thought' of the Godhead, the womb and mother of the Pleroma	in the Sethian Gnostic systems, first emanation of the unknowable Monad; supreme feminine principle, 'first thought' of the Godhead, womb and mother of the Pleroma
7507	Bhaisajyaguru	domain	the Medicine Buddha; the 'Master of Healing'; the celestial Buddha who presides over the eastern pure land of Vaiduryanirbhasa and heals the sicknesses of body and mind	the Medicine Buddha; 'Master of Healing'; celestial Buddha who presides over the eastern pure land of Vaiduryanirbhasa and heals the sicknesses of body and mind
7507	Bhaisajyaguru	object	the myrobalan fruit held in the right hand; the bowl of healing nectar/medicine in the left; lapis lazuli, the colour of his body and his pure land	myrobalan fruit held in the right hand; bowl of healing nectar/medicine in the left; lapis lazuli, colour of his body and his pure land
7509	Mahakala	domain	the great wrathful protector of Vajrayana Buddhism; a fierce emanation embodying the protective, obstacle-removing power of compassion; the Buddhist transformation of the Hindu Shiva-Mahakala	great wrathful protector of Vajrayana Buddhism; a fierce emanation embodying the protective, obstacle-removing power of compassion; the Buddhist transformation of the Hindu Shiva-Mahakala
7509	Mahakala	object	the kartika and the kapala; the trident; a garland of severed heads or skulls	kartika and the kapala; trident; a garland of severed heads or skulls
6983	Diana Nemorensis	domain	the hunt, the sacred grove, kingship, ritual murder, Nemi	hunt, sacred grove, kingship, ritual murder, Nemi
7253	Mot	domain	death, sterility, the underworld, the parched earth, devouring	death, sterility, underworld, parched earth, devouring
7253	Mot	object	his vast jaw; the city Hmry of his realm; the throne of his sovereignty in the underworld	his vast jaw; city Hmry of his realm; throne of his sovereignty in the underworld
6621	Asteria	domain	stars, falling stars, the island of Delos, prophetic dreams	stars, falling stars, island of Delos, prophetic dreams
6627	Rem	domain	sleep, the night, fish, the underworld	sleep, night, fish, underworld
7524	Vucub-Came	object	the deadly trial-houses and ball-court of Xibalba	deadly trial-houses and ball-court of Xibalba
6736	Sophia	domain	in the Gnostic systems, 'Wisdom'; the youngest of the aeons of the Pleroma, whose unilateral act of creation produces, without her consort, the ignorant demiurge Yaldabaoth - setting in motion the flawed material cosmos and the drama of redemption	in the Gnostic systems, 'Wisdom'; youngest of the aeons of the Pleroma, whose unilateral act of creation produces, without her consort, ignorant demiurge Yaldabaoth - setting in motion the flawed material cosmos and the drama of redemption
6736	Sophia	object	the spark of divine light that, through her, comes to be trapped in the material world and in humanity	spark of divine light that, through her, comes to be trapped in the material world and in humanity
7425	Chaos	domain	the primordial Yawning-Void from which everything else came; the first of all things; not 'disorder' in the modern sense but 'gap' or 'chasm'	primordial Yawning-Void from which everything else came; first of all things; not 'disorder' in the modern sense but 'gap' or 'chasm'
7015	Rumina	domain	nursing, breastfeeding, the fig tree, nourishment of infants	nursing, breastfeeding, fig tree, nourishment of infants
7525	Camazotz	domain	the 'Death Bat' of the Popol Vuh; the monstrous bat of the House of Bats, one of the trial-houses of Xibalba	'Death Bat' of the Popol Vuh; monstrous bat of the House of Bats, one of the trial-houses of Xibalba
7339	Allah	domain	the One God of Islam, creator, most merciful, the source of revelation, the only deity; identified with the God of the Hebrew Bible and Christianity per Islamic theology	the One God of Islam, creator, most merciful, source of revelation, only deity; identified with the God of the Hebrew Bible and Christianity per Islamic theology
7343	Asmodeus	object	in Tobit, the heart and liver of the great fish; in Testament of Solomon, the bonds with which Solomon binds him	in Tobit, heart and liver of the great fish; in Testament of Solomon, bonds with which Solomon binds him
6410	Dione	domain	fertility, prophecy, the oracle at Dodona, the sky	fertility, prophecy, oracle at Dodona, sky
6254	Satan	object	serpent-form; the chains with which he is bound for a thousand years; the lake of fire	serpent-form; chains with which he is bound for a thousand years; lake of fire
7338	YHWH	object	throne; the Ark of the Covenant; the Tabernacle and the Jerusalem Temple; the divine glory / kavod; the pillar of cloud and fire; the bow in the clouds	throne; the Ark of the Covenant; the Tabernacle and the Jerusalem Temple; divine glory / kavod; pillar of cloud and fire; bow in the clouds
6697	Phoroneus	domain	kingship, civilization, fire, the first man, Argos	kingship, civilization, fire, first man, Argos
7041	Izanami-no-Mikoto	domain	creation, death, the underworld, the feminine principle, earth	creation, death, underworld, feminine principle, earth
7137	Centeōtl	domain	corn, maize, agriculture, sustenance, the young corn god	corn, maize, agriculture, sustenance, young corn god
6411	Inachus	domain	rivers, Argos, kingship, the first river	rivers, Argos, kingship, first river
7142	Centzonhuītznāhua	domain	stars, the south, the four hundred southern stars, Huitzilopochtli	stars, south, four hundred southern stars, Huitzilopochtli
6104	Eve	object	the rib from which she was formed; the forbidden fruit; the serpent; fig leaves and animal-skin garments	rib from which she was formed; forbidden fruit; serpent; fig leaves and animal-skin garments
6633	Old Man of the South Pole	domain	longevity, the stars, wisdom, the south, the Southern Cross	longevity, stars, wisdom, south, the Southern Cross
7527	Ixtab	object	the rope/noose from which she is described as hanging	rope/noose from which she is described as hanging
7256	Yaldabaoth	domain	the demiurge of the Gnostic systems; the ignorant, arrogant lower power - malformed offspring of Sophia - who fashions the flawed material cosmos and falsely proclaims himself the only god; also called Saklas and Samael	demiurge of the Gnostic systems; ignorant, arrogant lower power - malformed offspring of Sophia - who fashions the flawed material cosmos and falsely proclaims himself the only god; also called Saklas and Samael
7256	Yaldabaoth	object	the material cosmos and its seven heavens, which he fashions; the throne from which he proclaims his false sole-divinity; his archons	material cosmos and its seven heavens, which he fashions; throne from which he proclaims his false sole-divinity; his archons
6630	Brimo	domain	death, the underworld, Hecate, nighttime rites	death, underworld, Hecate, nighttime rites
7150	Cipactonal	domain	the calendar, divination, the day, creation, the first man, astrology	calendar, divination, day, creation, first man, astrology
7150	Cipactonal	object	the tonalpohualli, divination implements	tonalpohualli, divination implements
7129	Huītzilōpōchtli	domain	war, the sun, sacrifice, hummingbirds, the south, the Aztec state	war, sun, sacrifice, hummingbirds, south, the Aztec state
7251	Nanāhuātzin	domain	humility, sacrifice, disease, the sun, self-immolation, transformation	humility, sacrifice, disease, sun, self-immolation, transformation
7477	Tecuciztecatl	domain	'He of the Conch Shell' - the proud, wealthy god who hesitated at Teotihuacan and became the moon Metztli rather than the sun; the cautionary counterpart of Nanahuatzin	'He of the Conch Shell' - the proud, wealthy god who hesitated at Teotihuacan and became the moon Metztli rather than the sun; cautionary counterpart of Nanahuatzin
7477	Tecuciztecatl	object	the conch shell; the rabbit	conch shell; rabbit
7153	Xocotl	domain	fire, fruit, the fire ceremony, the harvest of fire	fire, fruit, fire ceremony, harvest of fire
6107	Tu'er Shen	domain	love between men, matchmaking, rabbits, the moon	love between men, matchmaking, rabbits, moon
7212	Acintya	domain	the supreme god of Balinese Hinduism; the 'Unimaginable' or 'Inconceivable'; the formless absolute from whom all the other gods emanate	supreme god of Balinese Hinduism; 'Unimaginable' or 'Inconceivable'; formless absolute from whom all the other gods emanate
7212	Acintya	object	the empty shrine - the padmasana shrine is left empty for him, since he is formless; the flames that surround him in the rare depictions	empty shrine - the padmasana shrine is left empty for him, since he is formless; flames that surround him in the rare depictions
7045	Chalchiuhtlatonal	domain	jade, water, divination, the calendar, precious green	jade, water, divination, calendar, precious green
7213	Barong	domain	the protective beast-spirit of Balinese myth and ritual drama; the benevolent 'king of the spirits', leader of the forces of order and protection, eternal opponent of the demon-queen Rangda	protective beast-spirit of Balinese myth and ritual drama; benevolent 'king of the spirits', leader of the forces of order and protection, eternal opponent of the demon-queen Rangda
7213	Barong	object	his great elaborately-decorated mask and costume, worn by two dancers; the bell on his form	his great elaborately-decorated mask and costume, worn by two dancers; bell on his form
7508	Samantabhadra	domain	the bodhisattva of practice, meditation, and the vow put into action; in the Avatamsaka Sutra the embodiment of the bodhisattva path itself; in Nyingma Vajrayana, Samantabhadra is also the primordial Buddha	bodhisattva of practice, meditation, and the vow put into action; in the Avatamsaka Sutra the embodiment of the bodhisattva path itself; in Nyingma Vajrayana, Samantabhadra is also the primordial Buddha
7508	Samantabhadra	object	the wish-fulfilling jewel; the lotus; in East Asia, the white elephant on which he rides	wish-fulfilling jewel; lotus; in East Asia, white elephant on which he rides
7510	Vaisravana	domain	the chief of the Four Heavenly Kings; guardian of the north; god of wealth; protector of the Dharma and of those who hear it	chief of the Four Heavenly Kings; guardian of the north; god of wealth; protector of the Dharma and of those who hear it
7510	Vaisravana	object	the parasol or banner of sovereignty; the mongoose that disgorges jewels; a stupa; often a spear	parasol or banner of sovereignty; mongoose that disgorges jewels; a stupa; often a spear
7220	Manjushri	domain	the bodhisattva of wisdom; the embodiment of the discriminating insight that cuts through ignorance	bodhisattva of wisdom; embodiment of the discriminating insight that cuts through ignorance
7220	Manjushri	object	the flaming sword of wisdom; the book - the Prajnaparamita sutra - resting on a lotus	flaming sword of wisdom; book - the Prajnaparamita sutra - resting on a lotus
7218	Mara	domain	the personification of death, temptation, and the delusive forces that bind beings to samsara; the great adversary of the Buddha's awakening	personification of death, temptation, and the delusive forces that bind beings to samsara; great adversary of the Buddha's awakening
7218	Mara	object	the army of demonic forms and the weapons hurled at the Buddha; the three daughters - Tanha, Arati, Raga	army of demonic forms and the weapons hurled at the Buddha; three daughters - Tanha, Arati, Raga
6729	Huehueteotl	domain	fire, the old god, volcanoes, the hearth, the center, age and wisdom	fire, old god, volcanoes, hearth, center, age and wisdom
7326	Arsay	domain	earth, the underworld - *arshy bt ybdr* "Arsay daughter of Yabidir/the Wide One"	earth, underworld - *arshy bt ybdr* "Arsay daughter of Yabidir/the Wide One"
6113	The Primordial Waters	domain	chaos, creation, the unconscious, potential	chaos, creation, unconscious, potential
6111	Ishtar	domain	war, love, sex, fertility, the morning and evening star, kingship, divine sovereignty, justice	war, love, sex, fertility, morning and evening star, kingship, divine sovereignty, justice
7346	Samael	domain	rabbinic angel of death and venom; the angel-rider of the serpent of Eden; in Kabbalah, the consort of Lilith and the demonic counterpart of YHWH; in some traditions identified with Satan	rabbinic angel of death and venom; angel-rider of the serpent of Eden; in Kabbalah, consort of Lilith and the demonic counterpart of YHWH; in some traditions identified with Satan
7346	Samael	object	serpent; the cup of poison	serpent; cup of poison
6756	Odin	domain	war, death, wisdom, prophecy, poetry, magic, kingship, the gallows, fate	war, death, wisdom, prophecy, poetry, magic, kingship, gallows, fate
7392	Narasimha	object	discus, conch, mace, lotus; the entrails of Hiranyakashipu	discus, conch, mace, lotus; entrails of Hiranyakashipu
7331	Baal-Hammon	domain	chief god of Carthage and the Punic west, kingship, the sun, the divine consort of Tanit; identified by Greeks and Romans with Cronos/Saturn	chief god of Carthage and the Punic west, kingship, sun, divine consort of Tanit; identified by Greeks and Romans with Cronos/Saturn
7331	Baal-Hammon	object	throne flanked by sphinxes; ram-horned crown; staff; the bronze image at Carthage with downward-tipping hands	throne flanked by sphinxes; ram-horned crown; staff; bronze image at Carthage with downward-tipping hands
7335	Danel	object	incense-burner; the threshing-floor where he holds court; Aqhat's great bow forged by Kothar-wa-Khasis	incense-burner; threshing-floor where he holds court; Aqhat's great bow forged by Kothar-wa-Khasis
7195	El	domain	creation, fatherhood, kingship of the divine council, ageless wisdom, decree-giving, the source of the Two Rivers, the mountain Lel	creation, fatherhood, kingship of the divine council, ageless wisdom, decree-giving, source of the Two Rivers, mountain Lel
7195	El	object	throne, divine staff, the seat of the divine council; his tent at the source of the Two Rivers	throne, divine staff, seat of the divine council; his tent at the source of the Two Rivers
7334	Kirta	object	his royal weapons; the dream-vision he receives from El; his bow	his royal weapons; dream-vision he receives from El; his bow
7414	Daikokuten	domain	wealth, harvest, the kitchen; one of the Seven Lucky Gods; syncretic - combines the Hindu-Buddhist Mahakala with the Shinto Okuninushi	wealth, harvest, kitchen; one of the Seven Lucky Gods; syncretic - combines the Hindu-Buddhist Mahakala with the Shinto Okuninushi
7184	Brigid	domain	poetry, healing, smithcraft, fire, spring, Imbolc, the hearth	poetry, healing, smithcraft, fire, spring, Imbolc, hearth
7487	Chang'e	domain	the goddess of the moon; wife of the archer Hou Yi; she who consumed the elixir of immortality and floated to the moon, where she dwells; the central figure of the Mid-Autumn Festival	goddess of the moon; wife of the archer Hou Yi; she who consumed the elixir of immortality and floated to the moon, where she dwells; central figure of the Mid-Autumn Festival
7487	Chang'e	object	the elixir of immortality; the moon-palace; the osmanthus tree and the jade rabbit that share the moon with her	elixir of immortality; moon-palace; osmanthus tree and the jade rabbit that share the moon with her
7498	Cao Guojiu	domain	one of the Eight Immortals; the most recently-added and the patron of actors and theater; traditionally a brother of a Song-dynasty empress, hence the title Guojiu	one of the Eight Immortals; most recently-added and the patron of actors and theater; traditionally a brother of a Song-dynasty empress, hence the title Guojiu
7498	Cao Guojiu	object	the jade court-tablet; or a pair of castanets/clappers	jade court-tablet; or a pair of castanets/clappers
6532	City God	domain	urban protection, civic order, the afterlife, local governance	urban protection, civic order, afterlife, local governance
6602	Dragon King	domain	rain, water, floods, the sea, weather	rain, water, floods, sea, weather
6649	Four Heavenly Kings	domain	protection, Buddhism, the four directions, martial power	protection, Buddhism, four directions, martial power
6671	Gonggong	domain	water, destruction, chaos, the flood, cosmological catastrophe	water, destruction, chaos, flood, cosmological catastrophe
7493	Guanyin	object	the willow-branch and the vase of pure water; the lotus; the prayer-beads; in her thousand-armed form, a different implement in each hand	willow-branch and the vase of pure water; lotus; prayer-beads; in her thousand-armed form, a different implement in each hand
6918	Heibai Wuchang	domain	death, the underworld, judgment, escort of souls	death, underworld, judgment, escort of souls
6418	Raet-Tawy	domain	the sun, femininity, Heliopolis, solar worship	sun, femininity, Heliopolis, solar worship
7438	Typhon	domain	monstrous storm-serpent; the last child of Gaia and Tartarus; the gravest threat ever faced by Zeus; father of many other monsters by Echidna	monstrous storm-serpent; last child of Gaia and Tartarus; gravest threat ever faced by Zeus; father of many other monsters by Echidna
7438	Typhon	object	his hundred serpent-heads, fire-belching mouths, the volcanoes	his hundred serpent-heads, fire-belching mouths, volcanoes
7499	Lan Caihe	domain	one of the Eight Immortals; the ambiguously-gendered, eccentric immortal; patron of florists and gardeners; the wandering minstrel of the group	one of the Eight Immortals; ambiguously-gendered, eccentric immortal; patron of florists and gardeners; wandering minstrel of the group
7499	Lan Caihe	object	the flower-basket; a pair of clappers or castanets; one foot bare and one shod	flower-basket; a pair of clappers or castanets; one foot bare and one shod
6515	Ma Yuan	domain	war, pacification, the southern frontier, Vietnam	war, pacification, southern frontier, Vietnam
7494	Lu Dongbin	domain	the de facto leader of the Eight Immortals; a Tang-dynasty scholar who attained immortality; patron of scholars, barbers, and the sick; a central figure of the Quanzhen Daoist tradition	de facto leader of the Eight Immortals; a Tang-dynasty scholar who attained immortality; patron of scholars, barbers, and the sick; a central figure of the Quanzhen Daoist tradition
7494	Lu Dongbin	object	the demon-slaying sword; the fly-whisk; the gourd	demon-slaying sword; fly-whisk; gourd
6624	Niulang	domain	love, separation, reunion, the stars, weaving, herding	love, separation, reunion, stars, weaving, herding
6426	The Hemsut	domain	fate, protection, ka-spirits, the soul, personal guardians	fate, protection, ka-spirits, soul, personal guardians
6650	Pangu	domain	creation, the cosmic egg, sacrifice, separation of heaven and earth	creation, cosmic egg, sacrifice, separation of heaven and earth
6423	Ying Ziying	domain	the fall of Qin, last ruler, surrender	fall of Qin, last ruler, surrender
7486	Yandi	object	associated with fire and the south; the agricultural implements of the Shennong-identification	associated with fire and the south; agricultural implements of the Shennong-identification
6122	Aether	domain	upper sky, light, the heavens	upper sky, light, heavens
6552	Zhenyuan Daxian	domain	immortality, Daoism, hospitality, the ginseng fruit	immortality, Daoism, hospitality, ginseng fruit
6637	Ziwei Emperor	domain	the north, stars, sovereignty, imperial authority, Daoism	north, stars, sovereignty, imperial authority, Daoism
7403	Ammit	domain	the soul-devourer; annihilator of the unjustified dead; standing at the scales in the Judgment-Hall of Osiris to eat the hearts that weigh heavier than Ma'at's feather; the second death	soul-devourer; annihilator of the unjustified dead; standing at the scales in the Judgment-Hall of Osiris to eat the hearts that weigh heavier than Ma'at's feather; second death
7471	Coyolxauhqui	domain	'She of the Golden Bells' - moon-goddess; sister of Huitzilopochtli and the 400 Centzon Huitznahua; the dismembered moon whose monolith was placed at the foot of the Templo Mayor	'She of the Golden Bells' - moon-goddess; sister of Huitzilopochtli and the 400 Centzon Huitznahua; dismembered moon whose monolith was placed at the foot of the Templo Mayor
7279	Hapi	domain	the Nile, flood, fertility, abundance, water, androgyny	Nile, flood, fertility, abundance, water, androgyny
6757	Horus	object	was-scepter; the double-crown of Upper and Lower Egypt; the Eye of Horus	was-scepter; double-crown of Upper and Lower Egypt; the Eye of Horus
6416	Maahes	domain	war, protection, the sun, devouring, punishment	war, protection, sun, devouring, punishment
6896	Mandulis	domain	the sun, Nubia, Kalabsha, Greco-Nubian religion	sun, Nubia, Kalabsha, Greco-Nubian religion
6325	Min	domain	fertility, sexuality, virility, the harvest, the desert, generation	fertility, sexuality, virility, harvest, desert, generation
6892	Montu	domain	war, the sun, strength, valor, Upper Egypt	war, sun, strength, valor, Upper Egypt
6240	Mut	domain	motherhood, the sky, protection, royalty, vultures	motherhood, sky, protection, royalty, vultures
6574	Nezha	domain	war, protection, the sea, childhood, rebellion, lotus rebirth	war, protection, sea, childhood, rebellion, lotus rebirth
7400	Nephthys	domain	mourning, the dead, protection of the deceased; the dark counterpart of Isis; sister-wife of Set; one of the four canopic-jar protectresses	mourning, dead, protection of the deceased; dark counterpart of Isis; sister-wife of Set; one of the four canopic-jar protectresses
7400	Nephthys	object	the throne-and-basket hieroglyph; ankh; sometimes a vessel for ritual mourning	throne-and-basket hieroglyph; ankh; sometimes a vessel for ritual mourning
6126	Nut	object	ankh; the sun and stars on her star-studded body	ankh; sun and stars on her star-studded body
6153	Re-Hor-achti	domain	the sun, the horizon, the rising and setting sun, kingship	sun, horizon, rising and setting sun, kingship
6509	Seshat	domain	writing, measurement, architecture, mathematics, records, the stars	writing, measurement, architecture, mathematics, records, stars
6576	Sopdet	domain	the star Sirius, the Nile flood, the new year, agriculture	star Sirius, Nile flood, new year, agriculture
6302	Sekhmet	domain	war, plague, healing, fire, the sun, destruction	war, plague, healing, fire, sun, destruction
6302	Sekhmet	object	solar disk and uraeus on her head; ankh; the arrows of plague	solar disk and uraeus on her head; ankh; arrows of plague
7460	Aesculapius	object	serpent-entwined staff; the temple-snakes	serpent-entwined staff; temple-snakes
6502	Two Ladies	domain	protection, Upper and Lower Egypt, royalty, duality, the pharaohs crown	protection, Upper and Lower Egypt, royalty, duality, pharaohs crown
6700	Wadjet	domain	protection, Lower Egypt, the cobra, the throne, royalty	protection, Lower Egypt, cobra, throne, royalty
6698	Sangarius	domain	rivers, Phrygia, nature, the flood	rivers, Phrygia, nature, flood
7458	Cupid	domain	love, desire; identified with Greek Eros; son of Venus; the central male figure of Apuleius's Cupid and Psyche; in late-classical and Roman iconography increasingly the chubby winged infant	love, desire; identified with Greek Eros; son of Venus; central male figure of Apuleius's Cupid and Psyche; in late-classical and Roman iconography increasingly the chubby winged infant
